,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
137,0.6837599,0.7999883,5.75743,0.3198946,2.452552,1.0321798,1.1555138,1.0137984
138,0.7074728,0.78152776,6.697954,0.31802502,2.8442116,1.0598359,1.0532753,1.0673822
139,0.6706766,0.7925116,4.1498322,0.5523416,2.954983,0.9774811,1.051915,1.0613478
140,0.7299203,0.8043207,7.3540745,0.23113038,2.5614834,1.025419,1.0139575,1.1718984
141,0.7365621,0.7884524,8.10396,0.12836528,2.6934562,0.967854,1.0090221,0.9708847
142,0.93339384,0.7528405,6.223061,0.112328894,2.2184331,1.049034,1.048312,1.0984633
143,0.7141097,0.7959808,6.4798336,0.31225485,2.6499534,0.8585149,1.0270758,1.1475518
144,0.71141696,0.7893794,7.121006,0.1968301,2.586283,1.0499928,1.0986463,1.1619412
145,0.7425143,0.79023784,4.3009143,0.64947575,3.005867,1.0647999,1.0244849,0.9896957
146,0.7624231,0.77387714,6.774477,0.14413755,2.5851533,1.036856,1.1454264,0.9300104
147,0.6898609,0.8097119,6.812141,0.23847482,2.4804063,1.0366585,1.0461785,1.1495874
148,0.74068916,0.809527,6.005466,0.41487005,2.8286047,1.1209335,0.9764001,1.0275842
149,0.7289283,0.8181686,6.297802,0.2512112,2.4485638,1.073742,1.0377147,1.11698
150,0.7611556,0.812308,6.7736115,0.4003576,2.8186915,1.0478171,1.102763,1.1303473
151,0.9409027,0.77453953,6.1208344,0.28045714,2.1303446,0.9450484,1.1285086,1.2077364
152,0.6852729,0.8074764,6.049819,0.36573395,2.9002838,0.92967165,1.0404096,1.0301359
153,0.73393023,0.8020022,7.282505,0.12782727,2.421999,1.1136316,1.0612043,1.1545774
154,0.7271721,0.8056489,7.089777,0.23011674,2.5529618,0.9219327,0.9798334,1.1590829
155,0.66245925,0.769502,2.8966892,0.9969487,2.9476764,1.0294207,1.0181382,1.1782275
156,0.6504307,0.80346864,7.8400292,0.19639379,2.7671936,1.0412651,0.9209349,1.1451497
157,0.63245815,0.8066619,7.091595,0.26359388,2.7164962,1.0507267,1.0552562,1.2253034
158,0.8299229,0.78929794,3.12682,0.8735263,3.0129886,1.0453204,1.1161112,1.2104961
159,0.7173714,0.7781765,7.018178,0.20048635,2.6975243,0.9875683,0.88710386,1.23361
160,0.71262157,0.8033991,3.9693584,0.66350615,2.8599994,0.97725224,1.049401,1.3849326
161,0.6741968,0.7700935,7.0982127,0.18099493,2.6887553,1.0342174,1.0610136,1.2262561
162,0.7243592,0.78749126,8.324388,0.17025645,2.77686,0.96630895,0.93181896,1.1201433
163,0.6986792,0.7756389,7.47246,0.21791756,2.7815945,0.98824775,1.0282193,1.1907096
164,0.7874674,0.78064877,4.9008694,0.38577008,2.8496935,1.1109574,1.1625137,1.069919
165,0.7152445,0.8068043,6.4356055,0.318174,2.4539926,1.0812399,1.0570267,1.0519005
166,0.81687623,0.775702,5.8095403,0.4529636,3.0421658,0.9551066,1.0159569,0.9270886
167,0.6443618,0.80039,3.4705431,0.7945842,3.0027542,0.8997253,1.0223234,1.1069057
168,0.74613667,0.8044382,7.7631345,0.21368946,2.8803506,0.937895,0.87409675,1.110262
169,0.6665518,0.7970471,6.0012183,0.20437032,2.6180656,1.229777,1.0653067,1.1024328
170,0.73343176,0.7965159,6.4065046,0.36784682,2.893409,1.0665915,1.0422081,1.0207273
171,0.94440216,0.8126282,6.2531013,0.22175933,2.3202384,1.0665634,1.023095,1.0549538
172,0.9443044,0.80451953,6.367983,0.24131304,2.2061644,1.0048966,1.0001647,1.1146803
173,0.7344313,0.7916759,6.8392534,0.26957038,2.827698,1.0515666,1.0070555,1.091826
174,0.619036,0.8269239,6.1332316,0.3328828,2.6893477,0.945864,1.1474223,0.9939788
175,0.6858447,0.792933,5.592737,0.33573666,2.514906,0.91632545,1.0816774,1.1032906
176,0.67319614,0.7890843,6.8057685,0.25719333,2.6220922,0.97290367,1.0277508,1.2240566
177,0.94532657,0.79225886,5.911991,0.26342526,2.2017384,1.0570277,1.0752863,1.0590377
178,0.8269317,0.82333887,6.399718,0.18408276,2.3683922,1.0610794,1.0044813,1.1526563
179,0.771799,0.7570511,3.0761366,0.7976265,3.0605586,0.92973083,1.0150433,1.2401084
180,0.727672,0.8329367,7.189133,0.22263871,2.417096,1.1094687,1.0579545,1.2037153
181,0.6943462,0.7799438,7.2849007,0.1968575,2.5955393,1.1511345,1.1209347,1.202354
182,0.6287021,0.8379278,3.8019757,0.7365771,2.93601,0.94726247,1.1188169,1.1283615
183,0.6907957,0.78790283,7.647586,0.17670265,2.7865543,0.9345922,0.9709941,1.1842165
184,0.65039164,0.83553433,6.2534323,0.3796882,2.4444306,0.9543081,1.1213259,1.1334388
185,0.7485319,0.8207774,4.9203467,0.4049292,2.4715714,1.087646,1.0449055,1.0176278
186,0.67834973,0.7854307,7.20309,0.26205543,2.7875888,0.91713816,1.093581,1.0633813
187,0.6863704,0.7791727,5.389132,0.27799693,2.662967,0.9457786,1.2489017,1.1701072
188,0.82169336,0.79902124,5.2994356,0.3134475,2.377185,0.99570453,1.0895896,1.0650036
189,0.86393756,0.8146798,5.2271934,0.22079264,2.4808261,0.9418014,0.84156203,1.1042438
190,0.91946965,0.7828772,6.309687,0.1827996,2.4184062,1.0581669,0.9680384,0.94695026
191,0.7447601,0.7899561,7.3589253,0.2677899,2.7189968,0.9623653,1.0777861,1.092492
192,0.6588259,0.79799044,7.4305363,0.22712618,2.7549603,0.9918129,1.046411,1.161552
193,0.65695953,0.7963,5.38682,0.38432363,2.9028692,0.9490792,1.0442799,1.0576677
194,0.5952043,0.7917568,3.0672462,0.8954712,3.0774305,0.9478178,0.8775103,1.104017
195,0.60625535,0.8016837,6.0623784,0.26504514,2.5075407,0.9580421,1.0534184,1.1706446
196,0.7180163,0.7789231,4.1993957,0.5813608,3.017323,1.1969838,0.8665727,0.93757516
197,0.706169,0.7951324,4.701031,0.5899296,3.008909,0.9824056,1.0086825,1.0831728
198,0.7042952,0.7884854,7.6094704,0.2399896,2.6454294,0.92928404,1.0925213,1.0903695
199,0.887716,0.834697,7.690558,0.16612524,2.289958,1.0103894,1.0785705,1.1114888
200,0.68517315,0.8045657,5.1097374,0.4152752,2.980126,0.99389696,0.86156213,1.0915122
201,0.6996567,0.7946215,6.9810705,0.20238002,2.7997499,0.91841,0.97686225,1.1585968
202,0.70939696,0.77914613,7.486749,0.22762875,2.7809105,0.9414023,0.96643776,1.1760044
203,0.93135726,0.8018357,6.1629047,0.17752728,2.1503086,1.1305988,1.0401977,1.196606
204,0.7578562,0.7935918,5.9736176,0.152873,2.4154112,1.1423321,0.9182238,1.0601432
205,0.662493,0.7835329,5.830157,0.2487947,2.7253666,1.0414062,0.9457243,1.1091216
206,0.6977101,0.8038901,7.0135355,0.21112783,2.8236954,1.0445514,0.9525726,0.99670887
207,0.71391624,0.78272396,6.5906696,0.2763409,2.630154,1.0684226,1.1143498,1.0758413
208,0.6946127,0.806458,5.6138873,0.46343204,2.9486659,1.07025,0.9075846,1.1368929
209,0.82156634,0.81268376,6.310752,0.25003418,2.405875,1.0629272,1.1166658,1.0439595
210,0.71911615,0.7643011,6.241704,0.27965716,2.7096655,1.0155265,1.0636448,1.0460355
211,0.7464999,0.79524565,5.37941,0.4311327,2.9445467,0.9178845,0.97559065,1.3242029
212,0.7210141,0.7903383,3.461813,0.8572648,2.9666884,1.0254455,1.069419,1.1875768
213,0.8152943,0.77233493,3.2249222,0.88520443,2.9927192,1.110295,1.1617922,1.0979592
214,0.6429873,0.80408925,7.4145675,0.23035297,2.6955042,1.0143993,1.0378003,1.2196027
215,0.73660123,0.7692987,6.3724985,0.21556866,2.8267665,0.9106995,0.93750286,0.97632366
216,0.7596228,0.79371685,6.2894025,0.35037068,2.7595496,1.0712353,0.9780834,1.0647213
217,0.6956813,0.8052858,6.8113484,0.28807068,2.7502165,0.98682165,0.99367464,1.1952963
