,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5
272,-0.34537733,0.37920648,1.9784142,0.1663725,-0.094014615,0.23844375,0.13838533
273,-0.54545116,0.36824507,3.0639207,-0.55405414,-0.18466668,0.14727525,-0.73494834
274,-0.40366668,0.40916896,3.2744474,-0.99303174,-0.18556918,0.27196366,-0.9839945
275,-0.40636185,0.35969839,2.4032574,-0.21647835,-0.14300354,0.23361786,-0.19108301
276,-0.4567959,0.37239796,0.9054503,1.3114496,-0.20049933,0.28676832,1.3627421
277,-0.45943847,0.35743785,3.085435,-0.85091573,-0.14089705,0.23614609,-0.8611174
278,-0.45723042,0.40222588,3.119446,-0.82334083,-0.20126624,0.3292728,-0.808489
279,-0.4085901,0.36468685,3.7755456,-1.7831194,-0.049286027,0.18581654,-1.7388259
280,-0.38259932,0.3870641,0.8244503,1.3479975,-0.2240472,0.36418772,1.4333864
281,-0.52221006,0.34857902,1.1430306,1.0781246,-0.12941319,0.25128654,1.1069589
282,-0.49072358,0.36932996,0.79137594,1.4469595,-0.21705084,0.26409385,1.4203256
283,-0.38127652,0.3637926,3.942838,-1.7998726,-0.20648225,0.26160133,-1.7727257
284,-0.25395292,0.34713814,-0.0038323023,2.2518241,-0.13029736,0.2342654,2.2476428
285,-0.31633726,0.3642918,-0.4019283,2.5817301,-0.21192718,0.20488273,2.6744647
286,-0.3908602,0.38058954,0.3260683,1.8848449,-0.15450707,0.18306495,1.8896111
287,-0.3694487,0.39174876,0.15718429,2.1607265,-0.12569138,0.18960135,2.1105583
288,-0.30306426,0.3489657,1.4520975,0.7709291,-0.08920489,0.13191225,0.75450355
289,-0.49414298,0.33986217,2.091189,0.13186379,-0.10924567,0.20222741,0.1755156
290,-0.3749382,0.41108108,0.4877836,1.7225336,-0.18829194,0.29599616,1.7328541
291,-0.45500565,0.36815295,-0.21481119,2.6214263,-0.16673379,0.24886695,2.5316079
292,-0.40563488,0.3984347,1.9926276,0.23359804,-0.095470175,0.23322317,0.2771203
293,-0.30540782,0.35986236,1.3023474,0.9244421,-0.11370624,0.25802508,0.87747437
294,-0.37070596,0.35267383,3.418159,-1.0118158,-0.1895793,0.26650068,-1.111331
295,-0.4362359,0.35974455,1.6929992,0.5240959,-0.18697263,0.25714183,0.5171409
296,-0.4810216,0.3715476,1.3314061,0.9200721,-0.11899457,0.2604993,0.92577887
297,-0.4721092,0.38242647,0.0047913776,2.0786057,-0.11612226,0.23294316,2.0969691
