,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4
158,0.22697587,0.9607258,2.130654,0.002511293,-0.16110995,0.26845878
159,-0.35730574,0.6353596,2.1968274,0.018592615,-0.16325638,0.27338177
160,-0.99,0.47982192,2.3888934,0.032257102,-0.16304556,0.263257
161,0.068484075,0.8675198,1.986772,0.010648504,-0.20141445,0.2553085
162,-0.2071938,0.8054336,2.1509848,-0.005594843,-0.18015935,0.22605458
163,0.06572759,0.9163162,1.8804301,-0.026891027,-0.1884119,0.27547744
164,0.0809251,0.8805339,2.3548217,-0.0063047674,-0.17587367,0.27622768
165,0.35503483,0.9355625,2.0588112,-0.010346541,-0.17643906,0.25736293
166,0.8285588,0.84195465,2.3446074,-0.018010879,-0.18240228,0.2945836
167,0.3425077,0.9453573,2.301842,0.025856476,-0.14342646,0.26318777
168,-0.009024572,0.83921856,2.4032223,0.010024861,-0.17834443,0.24524114
169,-0.2026728,0.82474256,2.4960353,-0.04576947,-0.15407948,0.22550748
170,-0.16585591,0.8363261,1.9026891,-0.01836794,-0.1848929,0.28646952
171,-0.15238188,0.8856921,1.7912087,0.020043664,-0.2038305,0.22017062
172,0.18074161,0.83939916,2.0182886,-0.026560979,-0.19198975,0.2772403
173,-0.69608426,0.6875866,2.0552452,-0.0040306705,-0.19213687,0.26859918
174,-0.4835848,0.7799305,2.3283966,-0.024610978,-0.12619254,0.21056105
175,0.44032508,0.97071356,2.205331,-0.027576651,-0.18533406,0.27904302
176,0.15442069,0.8659611,2.0213523,-0.0028759968,-0.20338337,0.25211373
177,0.23223887,0.91587514,2.3717234,-0.03490369,-0.17403728,0.23242426
178,0.18352798,0.75392,1.7496115,0.0031409613,-0.15935546,0.23809871
179,0.3015105,0.76158786,2.0190446,-0.018522846,-0.18923718,0.25942612
180,0.20401187,0.8330948,1.8664863,0.01219503,-0.16660538,0.23803614
181,0.68717587,0.90985066,2.494412,0.033587202,-0.15014233,0.25896806
182,0.99,0.70781064,3.2185006,0.024732947,-0.18283316,0.25395074
183,0.8301948,0.7319678,2.273934,0.010594775,-0.19697663,0.25615737
184,0.4343741,0.9615157,2.543861,-0.022217728,-0.18142956,0.2318167
185,0.0628203,0.933874,2.3673658,0.005582924,-0.18688732,0.23778988
186,-0.6072194,0.6100874,2.2696033,-0.0064312904,-0.17676032,0.23249823
187,-0.25816646,0.8726351,2.0953808,-0.006906116,-0.21610634,0.25403896
188,-0.16785999,0.8245128,1.952072,0.017523695,-0.1392109,0.22239834
189,0.5236591,0.93439037,2.3005831,-0.012116803,-0.17197217,0.26954705
190,-0.34321272,0.875681,2.0893826,-0.035938457,-0.17969747,0.28129572
191,-0.23579197,0.8473969,1.9478377,0.023518685,-0.19748135,0.24744269
192,0.3512996,0.90809363,2.2263103,-0.033157803,-0.18203752,0.29416156
193,0.22007135,0.7402601,1.8890052,-0.011055673,-0.18537937,0.2751468
194,0.5396546,0.71143585,2.5046659,-0.008145082,-0.1725005,0.21888277
195,0.23156184,0.90280616,2.2664368,0.0076188943,-0.20397611,0.28108186
196,-0.39126915,0.8243362,1.8655385,-0.019156301,-0.14919473,0.28825274
