,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3
236,-0.024717594,0.81054926,1.9972732,0.056941908,-0.02929296
237,0.18099095,0.9022365,2.272573,0.0733848,-0.04099546
238,-0.04973945,0.9871922,2.3983243,0.10303972,-0.044716705
239,0.99,0.5389004,2.101103,0.04533604,-0.034307584
240,0.4233455,0.80915934,2.0331626,0.05351224,-0.023954142
241,-0.75336325,0.6055576,2.1417947,0.093046404,-0.024903346
242,-0.2104374,0.8418242,1.9110518,0.094012946,-0.02179753
243,0.48342004,0.81307656,2.0222838,0.050096914,-0.03518569
244,-0.11448399,1.0368052,1.6269069,0.07503586,-0.014881867
245,0.51523805,0.91209656,2.070158,0.05920555,-0.0363481
246,-0.7774588,0.5519629,2.2022462,0.058306642,-0.018071173
247,0.19703136,1.0440819,2.0737684,0.086255476,-0.017731689
248,0.73527193,0.7539365,2.561011,0.051740017,-0.0270801
249,-0.9307855,0.5322372,2.1633005,0.059151538,-0.041900903
250,0.11545285,1.0078917,2.2825708,0.06607719,-0.034002595
251,-0.10296862,0.8793389,2.072259,0.078567654,-0.027043156
252,0.72943634,0.76781017,2.2292306,0.07164387,-0.03734823
