,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
191,2.2944539,-0.050284006,-0.1732462,0.3715845,1.1947905,0.05,4.0707293,0.36944267
192,1.9916264,-0.041063204,-0.04051593,0.29353753,0.85361224,0.05,4.0551457,0.38749155
193,2.2361045,-0.10675484,-0.035499636,0.13476352,1.1170812,0.05,4.379787,0.29788986
194,2.4293377,-0.19812603,-0.32048333,0.52076125,1.3853083,0.05,4.1151295,0.24629696
195,2.5128024,-0.13010614,-0.16476451,0.3547627,0.98064566,0.10720693320035934,2.1759188,1.0255821
196,2.199359,-0.07493089,-0.17177214,0.2999524,1.1574024,0.03075207769870758,4.487564,0.30427718
197,2.0567207,-0.047387842,-0.17272618,0.4841546,0.9380036,0.0503857359290123,4.136277,0.42538503
198,2.2711246,-0.03499985,-0.15379904,0.19697034,1.1428474,0.05,4.5339203,0.26091108
199,2.3129194,-0.101604685,-0.08363547,0.31041113,1.1459715,0.0132314907386899,4.0938544,0.41503015
200,2.2374015,-0.072810546,-0.19017658,0.40079114,1.1593416,0.0671859085559845,3.930807,0.41780224
201,2.0880818,-0.00014527979,-0.20153306,0.26661402,0.9349496,0.05552925914525986,3.9964807,0.41890422
202,2.1912062,-0.1202162,-0.031531837,0.1719099,1.1440532,0.04245573282241821,4.4511423,0.323131
203,2.2173796,-0.037506867,-0.056409992,0.21129677,1.1619747,0.02902592159807682,4.3495617,0.31768933
204,2.5535755,-0.02787231,-0.15793602,0.18433331,0.7660249,0.12653905153274536,2.0019379,1.6520399
205,2.3977563,-0.08447799,-0.1096312,0.2803776,1.336319,0.051165495067834854,3.7456872,0.36520156
206,2.15245,-0.10555008,-0.15722652,0.42003596,1.0950769,0.05,4.397311,0.3091185
207,2.4693909,-0.09073798,-0.08989372,0.2135104,0.95908785,0.041840359568595886,2.5301478,0.6500553
208,2.2705464,-0.06084706,-0.14034499,0.2415133,1.1092964,0.032136764377355576,4.7469006,0.3440035
209,2.0066206,-0.0395872,-0.18544239,0.48361176,0.85446465,0.05501871183514595,4.005155,0.4254092
210,1.9950615,-0.059122223,-0.1982664,0.31228584,0.7084108,0.06410768628120422,3.8403149,0.6308987
211,2.131817,-0.077016205,-0.13492358,0.25254625,1.0626094,0.05,4.407728,0.16753568
212,2.2066102,-0.113639235,-0.090673365,0.32497117,1.0624627,0.05,4.318566,0.25423193
213,2.2759025,-0.15477373,-0.14330491,0.29294074,0.9873248,0.05,4.2947354,0.34284592
214,2.409203,0.026673008,-0.118610725,0.22409844,1.1278042,0.056265950202941895,3.0864017,0.55600834
215,2.408379,-0.06137036,-0.10925748,0.25165132,1.2770929,0.08037048578262329,3.217016,0.5279159
216,1.8528333,-0.016760278,-0.10272439,0.25125328,0.57688284,0.05,5.4466114,0.37408856
217,1.8830075,-0.0493387,-0.03880947,0.20516762,0.53782266,0.05,5.3727827,0.31755924
218,2.26555,-0.12774388,-0.17451008,0.30251986,1.0035855,0.05,3.8959484,0.42449227
219,2.4178739,-0.08177482,-0.13072288,0.32648912,1.1655251,0.020299836993217468,3.3522854,0.4595777
220,2.2124763,-0.053364307,-0.15432377,0.3225645,1.1494827,0.03640217334032059,4.842367,0.30371705
221,2.1915555,-0.036981095,-0.14362262,0.2670173,1.134692,0.04188155382871628,4.581641,0.29543707
222,2.1102962,-0.07720889,-0.12838495,0.29947162,0.91313434,0.06785707920789719,4.151178,0.43625095
223,2.2927668,-0.059465785,-0.16486052,0.39963847,1.2179292,0.06851651519536972,4.3375783,0.38900745
224,2.3724792,-0.08654731,-0.185977,0.3974462,1.2059569,0.04784644395112991,4.106328,0.40581155
225,2.1784425,-0.09781838,-0.1485646,0.355727,1.0626899,0.0051185558550059795,4.2523484,0.33901453
226,2.022886,-0.051473822,-0.17345488,0.29833084,0.7111038,0.057886406779289246,3.4871821,0.65782493
227,2.276513,-0.0939635,-0.18874046,0.50465167,1.2377927,0.06246150657534599,3.9419384,0.40692258
228,2.0721471,-0.017417217,-0.04036111,0.10950004,0.9400974,0.02066555805504322,4.603395,0.33599016
229,2.1158528,0.10199437,-0.11628766,0.2108496,1.0068578,0.07207673788070679,4.105586,0.44732374
230,1.9161754,-0.032326926,-0.16587463,0.4112211,0.71420014,0.04771414399147034,4.932982,0.44000185
231,2.231231,-0.01990789,-0.12120437,0.35637546,1.1617639,0.029933352023363113,4.0266232,0.39233065
232,2.1343067,0.009052663,-0.19729874,0.34307262,1.1687549,0.05,4.504363,0.28247854
233,2.2494755,-0.03399539,-0.1303693,0.31298247,1.1321632,0.05,4.1131268,0.34073016
234,2.1812239,0.04731421,-0.14005932,0.24638788,1.1953776,0.05,5.0419464,0.27350473
235,2.0601485,-0.0022743077,-0.18937097,0.26970536,1.0026788,0.051830146461725235,3.9717705,0.44024774
236,2.463221,-0.10283297,-0.19018543,0.34287754,1.1472079,0.08988145738840103,3.496659,0.52941054
237,2.1938694,-0.06518099,-0.2556694,0.33033434,1.0521829,0.0647260844707489,4.2126765,0.3936302
238,2.2836604,-0.09042687,-0.19105896,0.35017157,1.1236213,0.026408573612570763,3.7154522,0.39398575
239,2.140339,-0.071074195,-0.051893927,0.15515113,1.0592643,0.027882959693670273,4.6381445,0.288304
240,1.9727988,-0.042303927,-0.13313194,0.33931455,0.73111606,0.07329680025577545,3.927608,0.6458138
241,2.5859365,-0.10844195,-0.12816094,0.2680425,0.998027,0.10858628898859024,1.9961617,1.1758298
242,2.3845983,-0.13916457,-0.20172977,0.47641438,1.2354958,0.07200946658849716,3.2640479,0.5078307
243,2.2585049,-0.14579198,-0.09139571,0.2685466,1.035707,0.0392652228474617,4.203752,0.43267196
244,2.2558095,-0.06265913,-0.15324156,0.25329566,1.1980177,0.07061436027288437,4.3743753,0.31843197
245,2.1954355,-0.016939616,-0.103288054,0.2420916,1.1116745,0.011385210789740086,4.029018,0.37081584
246,2.312223,0.005773264,-0.04452933,0.25000685,1.2603681,0.05244143307209015,4.055529,0.3501324
247,2.1916583,-0.08621859,-0.18721962,0.36869118,1.0969809,0.07045671343803406,4.8332906,0.37070075
248,2.1687453,0.02819564,-0.028876878,0.16258381,1.2333086,0.05,4.552898,0.27418217
249,2.2037823,-0.022031821,-0.26635933,0.39309356,1.0952829,0.05548448488116264,4.637008,0.3463707
250,2.1278853,0.02236178,-0.14428987,0.33645618,0.97615725,0.09279290586709976,4.450183,0.39463553
251,2.4025807,-0.038245108,-0.18224794,0.22680579,1.3900285,0.0391848161816597,4.1102395,0.33927885
252,2.213316,0.010392294,-0.07793952,0.23412669,1.0341405,0.08134326338768005,4.161676,0.42946568
253,2.2721283,-0.058350388,-0.13588783,0.35502887,1.2191851,0.06585893779993057,3.9569783,0.38144326
254,2.2216034,-0.060755234,-0.20215744,0.34559116,1.1349384,0.060732271522283554,4.0544133,0.39549038
255,2.1823854,-0.12502286,-0.17184526,0.34381783,1.121072,0.05,4.544824,0.2954409
256,2.0888133,-0.00093221787,-0.16468701,0.40415978,0.8974189,0.02020557038486004,3.6975799,0.46716395
257,2.0599754,-0.1241607,-0.25295636,0.35679954,0.6729752,0.05765743553638458,4.260005,0.5553641
258,2.125952,-0.004119948,-0.12641029,0.24008626,1.0298907,0.05841336026787758,4.179447,0.4142911
259,2.0249143,-0.015154833,-0.20407529,0.3602516,0.88252294,0.06983615458011627,4.5799108,0.44349858
