,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
134,-0.5351376,0.33703512,0.99000424,1.1260746,-0.49708107,0.3451467,1.1289694,0.2928541
135,-0.5211683,0.3437963,1.7112346,0.5034697,1.3149252,0.2619236,0.5123756,-1.5267947
136,-0.5053112,0.3285295,3.16542,-0.88167053,0.8608883,0.24247105,-0.9290801,-1.0338514
137,-0.37273058,0.36665252,2.117956,0.24449375,0.05133659,0.26301286,0.22662148,-0.28092626
138,-0.5793076,0.3316635,1.8187928,0.45178798,-1.655845,0.36192384,0.5039914,1.4868724
139,-0.57666093,0.29727122,1.7495427,0.5374608,-2.192467,0.37893152,0.54821664,1.8875593
140,-0.44434237,0.33503538,1.43033,0.8033322,0.109525084,0.3340982,0.846532,-0.33255863
141,-0.5868776,0.3051824,2.037109,0.3012537,-1.9244335,0.4086089,0.28347984,1.6661379
142,-0.43793157,0.32769144,1.8012823,0.53326565,-1.7235274,0.48673257,0.5488533,1.4836938
143,-0.57682586,0.30129358,1.6488552,0.4295055,-2.451681,0.52291834,0.4811778,2.0385814
144,-0.50847054,0.3252245,3.5478435,-1.3283699,-1.0185906,0.38433355,-1.2951658,0.7005798
145,-0.5547294,0.28051832,0.74746054,1.4684416,-0.88049334,0.38841957,1.4683512,0.63709664
146,-0.5821913,0.31537065,0.7279084,1.4816757,-1.0054774,0.4114532,1.5302947,0.772204
147,-0.68081504,0.30351603,1.1670063,1.2275325,2.2009256,0.35150442,1.1859974,-2.4172153
148,-0.5988258,0.31593937,1.0867527,1.1368997,-0.5365902,0.3267081,1.1481174,0.29619798
149,-0.7262605,0.26651698,0.9910888,1.2448127,-0.17308708,0.32333857,1.2966933,0.05907082
150,-0.68541825,0.2672941,0.30741593,1.9233935,-1.459511,0.14583096,1.8883519,1.3404936
151,-0.61584926,0.3159589,1.1188388,0.95065,0.40133512,0.25544095,0.9345625,-0.49626246
152,-0.615472,0.27493766,1.8283987,0.42418376,-0.58502346,0.19503996,0.4314917,0.44221237
