,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
175,0.4859317,0.8243494033813477,4.331668853759766,0.6693371,2.5047061,1.0654135,1.0142461,0.83814764
176,0.65725446,0.8406620025634766,3.4500696659088135,0.8073971,3.2356873,1.0116036,0.8931369,0.8820365
177,0.9200297,0.8004077672958374,3.2599945068359375,0.8733745,3.2688565,0.9205666,1.0965031,0.95593846
178,0.77102166,0.8058720827102661,4.392576217651367,0.40362754,2.915554,1.0195483,1.0828891,1.1169802
179,0.66021883,0.7723628878593445,3.5985817909240723,0.88398093,2.696864,0.99897605,1.2614852,0.99525344
180,0.7249115,0.7957122325897217,4.015687465667725,0.7632037,2.8122108,1.0527631,0.99172616,0.9821237
181,0.6810245,0.8310152888298035,4.296827793121338,0.6083354,2.9358017,1.1324877,0.87384504,1.0429431
182,0.6696342,0.7805956602096558,7.152896404266357,0.40053728,2.373096,0.9588217,0.89450467,0.8655991
183,0.659682,0.8208412528038025,6.633054256439209,0.38249964,2.5409553,1.0395751,0.923317,0.9415025
184,0.71381164,0.7969716787338257,8.012052536010742,0.2906814,2.5647583,0.97987473,1.055722,0.9563027
185,0.66504824,0.8035621047019958,4.887935161590576,0.7268656,2.6532738,1.0219156,0.9543705,1.0623224
186,0.5579672,0.8093457818031311,4.398647785186768,0.90496624,2.9222846,0.91590345,1.0321736,1.0531759
187,0.73888415,0.8162775635719299,2.9410910606384277,0.78704655,3.0106986,1.1146723,1.045996,1.1619018
188,0.7584314,0.8314125537872314,4.08365535736084,0.7523317,2.9775953,0.9543561,0.92874527,0.9832405
189,0.666573,0.8478612303733826,6.38179874420166,0.77890855,2.595337,1.2148422,1.113759,0.89124197
190,0.6704645,0.815510094165802,7.360125541687012,0.29838255,2.6595533,0.8716512,0.9896678,0.98720586
191,0.6385689,0.814113974571228,5.480344295501709,0.57320434,2.9353573,0.9230491,0.96538234,0.8993814
192,0.6869831,0.8102481961250305,3.4286446571350098,0.83169615,3.0494995,0.9343245,0.9390645,1.0755601
193,0.60144264,0.8188745975494385,4.606563091278076,0.8065408,2.6906283,0.89536464,1.0887523,0.9720485
194,0.6594636,0.8224422931671143,4.375879287719727,0.76440084,2.7861266,1.0979496,1.0390441,1.0647224
195,0.87716997,0.819624125957489,2.8335392475128174,0.8932979,3.1472292,0.98821354,0.99857885,1.0125504
196,0.5786883,0.8161356449127197,3.5033464431762695,0.92203355,2.8638628,1.0819552,1.1483924,0.85801506
197,0.65156865,0.8187602162361145,5.9434309005737305,0.5778129,2.7063863,1.0743492,1.0184807,0.8803118
198,0.6252803,0.8255040049552917,4.285732746124268,0.9845738,2.9047408,1.045727,1.0216808,0.891489
199,0.7338138,0.8043233156204224,5.640162944793701,0.5398542,2.6629076,1.0484493,1.1112664,0.9861421
200,0.7286554,0.822253406047821,6.052486419677734,0.4434728,2.8104637,0.9198468,0.9137231,0.8789406
201,0.6044982,0.8388879895210266,3.2183334827423096,0.88326067,2.934428,1.0589284,1.0746458,1.0694453
202,0.67918515,0.8087775111198425,7.3301100730896,0.33772528,2.7633357,0.9631694,0.948367,0.98402566
203,0.6154499,0.8129553198814392,4.911923408508301,0.7615545,2.8244066,0.9706613,1.0000179,0.9196023
204,0.54142773,0.8142189383506775,3.9184746742248535,0.8783906,2.565391,1.0838392,0.9257315,0.967306
205,0.4243593,0.8358243107795715,5.390084743499756,0.78806466,2.354362,1.0979509,1.0619372,0.7713038
206,0.45751956,0.8472300171852112,4.146284580230713,0.9784243,2.5553725,0.9223565,1.0733497,0.9051159
207,0.7095818,0.8203988075256348,5.311936855316162,0.53848535,2.50759,0.9998716,1.0416728,0.96923983
208,0.7069422,0.7977701425552368,8.389021873474121,0.4902515,2.303832,1.0380347,0.864018,0.9236099
209,0.6797185,0.8501185178756714,5.095075607299805,0.6307751,2.5602217,0.9556895,0.96874934,1.0423101
210,0.6723532,0.7988012433052063,7.522096157073975,0.31684256,2.7098844,1.0511376,0.93108934,0.94223
211,0.6288454,0.8018434047698975,5.791042327880859,0.47068605,2.7915442,1.0652462,0.9800394,1.0521349
212,0.686483,0.8168043494224548,6.223323822021484,0.57021934,2.4626758,1.020054,1.0545596,0.90547234
213,0.72694945,0.8091064691543579,3.7558624744415283,0.6162468,3.2567763,0.98958814,1.0566341,0.8855955
214,0.75611633,0.8175111413002014,3.8952109813690186,0.6905465,3.004723,1.0517349,0.95030224,1.1111763
