,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho,posterior_g1,posterior_g2,posterior_g3,posterior_g4
109,0.1669453,0.8235627,5.6467714,0.9453923,2.483658,0.98428744,1.1330659,0.9292377
110,0.88529086,0.7383972,2.9235733,0.8911612,3.390124,0.86292696,1.1173968,1.0276662
111,0.15617652,0.795774,4.092203,0.8661088,2.4981275,0.87878925,1.1453816,1.1449106
112,0.60694736,0.7789729,4.159483,0.61060625,2.9777575,1.0644368,1.0212928,1.0517465
113,0.7860231,0.79467297,5.160947,0.51861066,3.1647842,0.9760379,0.9072612,1.0407522
114,0.8423475,0.7560668,3.205761,0.705137,3.460102,0.8149804,0.81192935,1.0523887
115,0.902199,0.7315104,2.7214923,0.8837969,3.2353973,0.9241583,1.0939635,1.1210423
116,0.6349398,0.7937007,5.6990952,0.46630064,2.765511,1.0321722,1.0208442,1.0793387
117,0.51551193,0.7804051,5.148182,0.5302893,2.9182208,1.0933676,0.94942904,0.9954287
118,0.7820306,0.7668632,4.1888514,0.59338707,3.1375062,0.9308736,1.107099,1.0828948
119,0.34523994,0.7895626,4.96236,0.599902,2.6189213,0.9068506,0.96955436,0.99482197
120,0.392424,0.78368205,3.1373441,0.96455866,2.963395,0.9311076,1.1038882,1.1806471
121,0.5805973,0.79739296,5.0336533,0.6177021,2.8835123,0.9490272,1.0436349,1.0855179
122,0.9339839,0.75746787,3.5186121,0.69280124,3.502116,0.92441964,1.0489038,0.92243546
123,0.6832144,0.7962473,4.320149,0.58688545,3.089892,1.1611267,0.94458956,1.0073206
124,0.6971436,0.7982734,5.082836,0.5407744,2.9809084,0.9715446,0.93045163,0.99437183
125,0.4710952,0.8048539,7.9811645,0.5778824,2.4728792,0.9110258,1.0202651,0.93161
126,0.36681584,0.8024587,4.0218296,0.9236561,2.7244258,1.0249127,0.9963059,1.0035115
127,0.9147962,0.7592739,3.297483,0.7112482,3.4517195,0.9808311,1.0059168,1.0404626
128,0.25190794,0.80818623,6.0169883,0.9621363,2.3441286,1.0618099,1.0417304,0.9570076
129,0.61348724,0.7826172,6.1418586,0.46025455,2.9192765,0.9997259,1.0564795,0.94179124
130,0.7596213,0.7761212,3.3737888,0.6502308,3.1650276,0.97596586,0.96262527,1.1332715
131,0.62147,0.7853149,3.5933473,0.7583008,3.2286272,0.9610565,0.96944785,1.0971231
132,0.40313333,0.78741336,3.2560546,1.0005807,2.9291496,0.9504025,0.9402659,1.2005948
133,0.6292189,0.8069144,8.448198,0.48424444,2.2581499,0.9462572,1.1453619,1.0643004
134,0.5942474,0.7914561,4.880468,0.57602704,2.7185748,1.071408,1.0188075,0.9740914
135,0.50728023,0.791648,3.2465158,0.9734309,3.018495,0.9296181,0.9465753,1.0531496
136,0.4101365,0.785017,3.8588817,0.79310703,2.8224573,1.0899423,0.8589708,1.049905
137,0.4765475,0.79229915,4.3386807,0.7550546,2.8277202,0.9857943,1.0220989,1.1723982
138,0.5907285,0.7861738,5.1307225,0.5890504,2.7462308,1.0037163,0.9301054,1.0212426
139,0.5873313,0.7915591,7.5876665,0.29502732,2.7570505,0.99577767,1.0897025,1.0104983
140,0.56868625,0.8112386,4.3629937,0.6753405,2.8962545,0.90893835,1.0833484,1.0604179
141,0.5879535,0.7840042,4.6895432,0.48289508,3.162597,0.7561413,0.8928608,1.0169239
142,0.6169363,0.7831088,4.380377,0.5775534,2.9974582,0.9198421,1.0342392,1.2416604
143,0.47875956,0.7998572,3.3589745,0.8995551,2.9113717,0.95019716,1.0780689,1.1891159
144,0.6931497,0.74775827,3.007731,0.8877015,3.210694,0.89079916,1.1717553,1.0464797
145,0.48247853,0.7870621,4.325297,0.6504247,2.9490147,0.9110012,0.83814293,1.2051306
146,0.6282499,0.79085743,5.349351,0.36772558,2.937212,0.98040926,0.98643154,1.0076479
147,0.46626207,0.76817,4.005866,0.9087243,2.7696147,0.98999244,1.0746917,1.0090672
148,0.5644264,0.7714669,4.381778,0.55274194,2.9233255,1.1204312,1.0734885,0.97282416
149,0.5650488,0.81156033,3.866905,0.7150167,3.0149403,0.854088,0.98858166,1.0350627
150,0.56532234,0.7922327,3.7981093,0.790609,2.902597,1.0606146,0.9265148,0.9484883
151,0.57489234,0.7938835,3.3973882,0.71699816,3.0869176,0.78447837,0.9707517,1.2478703
152,0.5866481,0.794007,4.19678,0.74925107,2.9848077,0.8693524,1.0717477,0.9940202
153,0.68080455,0.7615605,3.337808,0.7690838,3.2986686,0.8926583,1.0544366,1.034904
154,0.9015129,0.7608474,2.6477385,0.8504277,3.475687,0.83627385,1.0586594,1.195289
155,0.5237506,0.77312344,5.2235885,0.6110753,2.8411791,1.1168133,1.0611929,0.8858077
156,0.474472,0.7654289,4.334917,0.50671524,2.7708173,1.1011112,1.01075,1.2458285
157,0.096899755,0.82511604,4.5167265,0.8892782,2.4993079,1.0129684,1.075305,0.9749652
158,0.70122844,0.7954076,4.716741,0.5539983,2.8905294,0.9423309,1.0287602,1.1156651
159,0.77216655,0.7803784,2.455285,0.9767363,3.5199685,0.88993794,1.0248501,1.089954
160,0.5893147,0.7708332,2.9277806,0.8369294,3.1532118,1.1144338,0.9910589,1.1931645
161,0.7639641,0.7756612,3.682396,0.5767042,3.1982362,0.90326977,1.1264988,1.1022255
162,0.7619035,0.7588266,4.008179,0.60838634,3.1943562,1.0037926,1.0087804,1.0686774
163,0.41339386,0.7974279,4.0242596,0.884859,2.928818,0.79380965,0.95984685,1.1137277
164,0.45160234,0.7888603,5.3278,0.5527753,2.614318,0.9234989,1.0793476,1.099547
165,0.062702775,0.82438517,4.620162,0.7775695,2.4551268,1.022893,1.0427432,0.98719066
166,0.86407125,0.7610546,3.048639,0.70270175,3.2411182,1.0583566,1.0940084,1.1137532
167,0.7458183,0.783288,6.2991023,0.27746102,2.8371923,1.1182864,0.9508755,1.0687081
168,0.3862968,0.79609567,5.354353,0.591981,2.425065,1.061668,1.1573265,1.1752334
169,0.4226259,0.799438,4.02623,0.98350465,2.5693896,0.96346724,1.1335061,1.1258551
170,0.5246068,0.7976514,3.80152,0.70361274,2.910963,1.1070131,0.8786329,1.093317
171,0.13587761,0.80947924,4.666499,0.85050565,2.4467103,0.9931478,1.029936,1.240825
172,0.43330765,0.7848209,4.9128056,0.76611173,2.6280138,0.85958093,1.0161353,1.090909
173,0.54214865,0.80744344,4.3240404,0.65562135,2.9592388,0.9885107,1.0629898,1.0345997
174,0.37719357,0.79300344,5.9113016,0.75529826,2.5430038,0.99429387,1.0925152,0.9452046
175,0.8858571,0.5922777,11.380122,0.027127054,2.1400042,1.0678889,0.99949366,0.96967125
176,0.67377275,0.7632964,2.9060266,0.8899318,3.2337794,1.1423117,1.0284618,0.99259937
177,0.14347957,0.8328568,5.6642547,0.998609,2.3490527,1.0717754,1.1122609,1.0255009
178,0.84006256,0.78437763,2.8507226,0.57375467,3.527933,0.9838366,1.0730004,1.1278559
179,0.159855,0.84432316,6.1461067,0.921555,2.4214432,0.8999816,1.1006001,1.1151419
180,0.6567325,0.7597942,2.9423416,0.8767903,3.1870644,0.925035,1.1190168,1.2214109
181,0.05798004,0.81713647,4.924341,0.94096303,2.567424,1.0450368,0.9030817,0.8429368
182,0.63603085,0.7928901,7.476925,0.3884049,2.9066951,0.90338326,1.0233197,1.1443508
183,0.34603888,0.80157846,3.1336746,0.9810484,2.9032872,0.9971111,1.1330582,1.104107
184,0.82384163,0.7755876,2.8815053,0.85618746,3.2611647,1.0685886,1.0497894,1.2042166
185,0.5457247,0.7583781,4.441826,0.5058309,2.9980338,1.0188862,1.110063,0.9645716
186,0.664705,0.7845151,3.8474727,0.73369014,3.093208,1.0191762,1.0217794,1.0706401
187,0.57735133,0.7822241,5.250324,0.46042365,3.0260317,0.82428616,1.1110826,1.1323304
188,0.5480436,0.79345727,4.442135,0.66375315,3.0147398,1.030868,0.93515015,0.98345417
189,0.42583808,0.7958331,3.8857381,0.8846848,2.843193,1.029165,1.0054895,0.9999972
190,0.60212034,0.7926157,5.7012067,0.4922604,2.8040662,0.9294443,1.0429237,1.1208055
191,0.61369765,0.8040215,4.6974936,0.50065064,3.096074,0.90865535,0.9541129,0.97046393
192,0.75974494,0.753982,4.77535,0.4089482,3.0166578,1.0865966,1.12936,1.089843
193,0.811202,0.7437102,2.8022206,0.8524288,3.4338973,0.7594106,1.0317225,1.1759042
194,0.56137025,0.80305946,5.3023496,0.550222,2.6688516,1.0806378,0.9342012,1.1654671
195,0.77587116,0.76943034,3.0238607,0.65281266,3.1449656,1.1436845,1.0413741,1.1256554
196,0.42572054,0.7896827,4.5155787,0.8338645,2.6962335,1.0045826,1.1094409,0.8910395
197,0.8668678,0.77098674,2.5221314,0.9759007,3.478418,0.9194886,1.019081,1.0586832
198,0.5543626,0.7968161,6.414637,0.5192977,2.8405282,0.97418565,1.0465455,0.93079466
199,0.50375164,0.7923895,4.4383726,0.6725525,2.7546918,0.86440676,1.0809171,1.1176437
200,0.21647829,0.8360472,5.847994,0.7583374,2.363921,0.9080016,1.0881088,1.208727
201,0.47558746,0.79620636,4.869692,0.66717637,2.5308287,1.0640074,1.1879668,1.0599808
202,0.6655532,0.77908456,3.3946276,0.8700707,3.251739,1.0148815,0.9456497,0.89493114
203,0.62550426,0.77861,3.9879005,0.824175,3.1345878,0.9383633,0.89265764,1.0668128
204,0.642722,0.8015529,3.981196,0.6695869,3.066072,1.0194824,0.97573215,1.1610135
205,0.60976213,0.79751,3.3866556,0.93113756,3.1334605,0.920793,1.0184443,1.074981
206,0.79059005,0.7638364,3.3440306,0.74728155,3.345067,0.898924,0.9913576,1.0605747
