,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
82,0.68549776,0.42574427,0.8732226,1.0856258,-1.2506678,0.3988485,1.191949,1.0931563
83,0.63098615,0.47202873,1.9796196,0.1566168,-2.8881938,0.56575394,0.013180468,2.7399085
84,-0.5165162,0.4929471,0.7000823,1.5630642,-2.4741602,0.40007532,1.5195705,2.2283852
85,0.37135044,0.60254514,1.5198703,0.72786224,-0.72920626,0.3844273,0.6143068,0.7036778
86,-0.41626874,0.46662757,1.7898026,0.47785327,-1.6473823,0.424592,0.353289,1.4385939
87,-0.23799258,0.5706072,1.0098847,1.2640358,-0.29473755,0.23478016,1.0368366,0.36397752
88,-0.12271867,0.6395495,4.595954,-2.277496,-0.27339184,0.39288807,-2.4618638,-0.17471163
89,-0.188604,0.60594183,2.1422381,-0.22064814,2.3336787,0.6111153,-0.121313915,-2.482149
90,0.624395,0.52140415,1.8716325,-0.13152875,2.5942504,0.68793696,0.074177966,-2.4652264
91,0.45108387,0.4849411,2.6875062,-0.7107417,-0.6559997,0.51338077,-0.79212505,0.36842236
92,0.04845787,0.5644788,1.404741,1.12317,-2.1401901,0.4022401,0.9028284,1.788456
93,0.13606562,0.61665195,0.9536745,1.2736369,-0.6372726,0.3955754,1.1795331,0.503832
94,0.58546466,0.50130236,2.5198638,-0.697219,1.1322944,0.5141435,-0.7061873,-1.2884624
95,-0.041596826,0.566283,3.5440366,-1.5595281,1.8873866,0.38849413,-1.5318382,-1.997181
96,0.74407285,0.4026684,1.4503229,0.7809981,-0.89951044,0.43793115,0.6775347,0.7169134
97,-0.3826199,0.5262902,0.011147149,2.397204,0.822145,0.37436792,2.416454,-1.0162622
98,0.8163119,0.38528442,0.96323293,1.3249139,-1.0941954,0.4794813,1.2459612,0.8289832
99,-0.27514556,0.5391093,1.051226,0.98707885,0.76268625,0.24937737,1.0029876,-0.97845316
100,-0.23789763,0.5862061,-0.22474468,2.6407754,-0.5853334,0.513874,2.4972339,0.2720874
101,0.8274376,0.37867296,2.9924922,-1.1413075,-1.3612843,0.5665189,-1.0573848,1.1992193
102,-0.07689837,0.6147996,0.6395835,1.8252323,-0.79154193,0.2708155,1.7423905,0.49959603
103,0.036826994,0.62862045,1.2125458,1.0705492,2.8702977,0.45166862,1.0164871,-3.5127099
104,0.65490216,0.4527478,0.7485924,1.4865289,0.03747129,0.50075424,1.5290692,-0.35172886
105,-0.6131529,0.48296317,2.3350742,-0.22308606,1.4295657,0.42304963,-0.09665662,-1.5967457
106,0.78198636,0.38628423,1.0284371,0.95244044,-0.16873807,0.4978076,1.0793809,-0.010411744
107,0.16679448,0.47693098,1.9682807,0.18346526,-1.3763387,0.36740497,0.14183615,1.1585016
108,-0.6805308,0.44439822,0.6995502,1.4441117,-0.5162049,0.5742297,1.5715148,0.14095756
109,-0.8389155,0.31156883,1.9495051,0.3316145,-4.3109527,0.44680667,0.33195648,3.815875
110,-0.27831307,0.59209037,2.6964185,-0.77482826,-1.118234,0.54202574,-0.89304173,1.0733932
111,0.58549964,0.467736,0.6252761,1.5867641,1.5294732,0.67255074,1.5852554,-1.8747069
112,-0.51913834,0.48452225,1.1073719,1.1872735,-0.7503061,0.42747968,1.1716546,0.5757451
113,-0.28637412,0.51475304,1.1727788,1.0998989,1.1286644,0.41680413,1.0756228,-1.443194
114,0.772168,0.40066627,0.9749747,1.168525,-0.22953872,0.50218874,1.275974,-0.10007957
115,-0.18366826,0.48266256,1.78682,0.09861715,0.5621536,0.46434423,0.23004693,-0.69167393
116,-0.34297037,0.59407985,2.3287377,-0.42946333,-2.6236722,0.48927015,-0.28832585,2.3808227
117,-0.5863249,0.41606718,2.4948156,-0.5699489,-0.16005799,0.46820953,-0.5606118,-0.0030140185
118,-0.015768994,0.5205491,1.6042337,0.54472685,0.97575074,0.54057956,0.46001118,-1.1236115
119,-0.7298866,0.49449748,-0.9075795,3.2293425,-0.50034773,0.5573778,3.337687,-0.026156059
120,0.09923329,0.6749086,2.626536,-0.44838002,-4.4502006,0.4343615,-0.41435814,4.072304
121,0.02149606,0.6708422,3.6569793,-1.4626875,0.5046831,0.5203755,-1.3895704,-0.5534791
