,posterior_phi,posterior_sigma,posterior_g1
386,-0.62818766,0.55159634,2.173165
387,0.3435519,0.6390064,2.1480412
388,0.42902905,0.62182575,2.1705937
389,-0.6523254,0.5275598,2.1976385
390,0.41911313,0.63907313,2.1700401
391,0.28874865,0.6844235,2.1765883
392,-0.7553532,0.45877063,2.146455
393,0.36425123,0.64072335,2.190046
394,0.012351582,0.72819215,2.1666913
395,0.031643122,0.7373823,2.2084844
396,0.06476974,0.69331086,2.2303717
397,0.016710952,0.70473063,2.105428
398,0.2214516,0.7018344,2.1841826
399,0.42650193,0.6240856,2.232369
400,-0.6968313,0.5162685,2.2207048
401,0.012620729,0.6754545,2.1935022
402,0.61904126,0.55221605,2.179335
403,-0.21005425,0.6806068,2.1763067
404,-0.740056,0.47503477,2.2701142
405,-0.32048345,0.66426986,2.2167912
406,-0.69241625,0.51137114,2.186144
407,-0.29372433,0.6912924,2.304939
408,0.21161789,0.676054,2.19311
409,0.34644496,0.6773866,2.1395955
410,0.31760317,0.67436504,2.3918068
411,0.030841561,0.71915764,2.232142
412,-0.19963928,0.5918972,2.1543925
413,0.47279352,0.6207255,2.2776616
414,-0.38052475,0.6414796,2.1556003
415,-0.11402584,0.72316766,2.1828542
416,0.11367169,0.7432463,2.2369797
417,0.5778126,0.5906326,2.1732063
418,-0.041167054,0.7336641,2.2381806
419,-0.15065725,0.68380964,2.1836805
420,0.29583463,0.6823937,2.212409
421,-0.21341802,0.67977613,2.1282475
422,-0.52936167,0.572906,2.1314428
423,0.29969203,0.65703917,2.1971455
424,0.2083771,0.7171105,2.129881
425,0.50942194,0.6234071,2.2467988
426,0.43471223,0.62877446,2.2688553
427,-0.03160463,0.73225117,2.1470685
428,-0.111624725,0.6986425,2.3149717
429,-0.5905265,0.56311977,2.1419828
430,-0.12037488,0.73509294,2.2056398
431,0.7000833,0.502471,2.171812
432,0.43415082,0.62543064,2.2705112
433,-0.026946163,0.72019273,2.1109014
434,-0.23307072,0.7173212,2.2381685
435,-0.05155132,0.7205664,2.2266102
436,0.52763957,0.5943486,2.2863424
437,0.007771974,0.7196538,2.1882815
438,0.28454247,0.64874417,2.100559
439,0.35481042,0.6405616,2.1207902
440,0.42043516,0.6432226,2.1873336
441,-0.5469176,0.6015892,2.2055516
442,-0.33083335,0.63593715,2.1284943
443,0.4934637,0.61032045,2.1534991
444,0.54651934,0.6353491,2.3259783
445,-0.05844214,0.71294075,2.1385272
446,-0.39753935,0.6497137,2.1583757
447,0.52855116,0.6031576,2.1597245
448,-0.8030308,0.411533,2.2071445
449,-0.575383,0.5796539,2.2304835
450,-0.3097851,0.6496508,2.177317
451,-0.25202525,0.6746105,2.1822865
