,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3
344,-0.4716695,0.73435277,2.3877006,0.13209811,-0.17922325
345,0.19581914,0.6910737,2.3782346,0.18975669,-0.13005565
346,-0.19122058,0.7606423,2.192158,0.14034688,-0.11216809
347,-0.20705847,0.6143159,2.1733868,0.09357373,-0.09691938
348,-0.6881305,0.5284005,2.3898869,0.12540546,-0.12266619
349,-0.5544276,0.63059324,2.120626,0.16383314,-0.16072327
350,-0.6614443,0.5836769,2.5110223,0.1090904,-0.18456256
351,-0.1564308,0.7647965,2.3104417,0.12512729,-0.21286158
352,0.08735647,0.8360442,2.3240967,0.12998055,-0.2175994
353,-0.35411683,0.7678874,2.190607,0.07170002,-0.17103179
354,0.47105125,0.75528747,2.2562492,0.11688506,-0.07333402
355,-0.809772,0.43955025,2.1541963,0.10189314,-0.12797204
356,0.045949966,0.84873986,2.2810843,0.08588187,-0.10159221
357,0.61091906,0.7921831,2.243246,0.16869538,-0.122030705
358,0.28317717,0.8762888,2.6231816,0.12920955,-0.06439692
359,0.13671005,0.8418176,2.2364776,0.101828836,-0.12437487
360,-0.009741724,0.71726036,2.2976696,0.062081233,-0.13577393
361,0.030778332,0.69105095,2.335961,0.15949993,-0.17510591
362,-0.2996248,0.7601834,2.1773992,0.07616219,-0.1664942
363,-0.21624565,0.6486505,2.452818,0.09894897,-0.14156929
364,0.80178344,0.5875875,2.5303388,0.08209078,-0.21447648
365,-0.25827754,0.7828811,2.2810886,0.091327205,-0.14926668
366,-0.03593478,0.70134854,2.3733513,0.094645575,-0.16231973
367,0.46676528,0.68951255,2.4191606,0.108335935,-0.17169149
368,0.39814797,0.8336169,2.1827917,0.09838103,-0.13270275
369,0.37402984,0.7420109,2.13724,0.07519625,-0.104206845
370,-0.24856609,0.9078344,2.3136175,0.111464635,-0.1579884
371,0.5247982,0.7780538,2.4033248,0.14384769,-0.14663267
372,-0.05466376,0.8082581,2.2699368,0.069864124,-0.1375347
373,-0.01784379,0.7286423,2.278345,0.13480861,-0.15718727
374,0.7642046,0.7302241,2.2752626,0.18494257,-0.124937095
375,-0.46187103,0.6424422,2.4082828,0.02934232,-0.16026631
376,0.24136263,0.80747813,2.2744858,0.11083221,-0.22784337
377,0.06802862,0.7159071,2.285148,0.060966607,-0.1593774
378,0.6177103,0.7459904,2.394511,0.08636817,-0.16991611
379,-0.11102822,0.67871916,2.0767488,0.116537966,-0.13399875
380,0.5772029,0.84878874,2.101102,0.11741321,-0.0888356
381,-0.44440785,0.6363696,2.1998935,0.1020866,-0.19996828
382,0.48599634,0.8891525,2.1729417,0.07744492,-0.23394676
383,0.31174865,0.7673857,2.1859531,0.122228585,-0.16832712
384,0.10319496,0.6376284,2.5059118,0.20605837,-0.12571457
385,0.13901094,0.69040763,2.2134383,0.054801196,-0.12816672
386,0.22180316,0.64255226,2.3194273,0.11961342,-0.15929136
387,-0.46366507,0.7284588,2.1804743,0.06307537,-0.093773656
388,0.17099313,0.64838105,2.5307055,0.1403465,-0.13189289
389,0.09599396,0.6676914,2.153926,0.09610475,-0.16895571
390,-0.53186387,0.7104313,2.1990037,0.031513125,-0.16023828
391,0.5113275,0.5553093,2.1751776,0.07954099,-0.17534819
392,-0.6798634,0.5786431,2.3203883,0.14941469,-0.19827263
393,-0.62576634,0.61247516,2.1950276,0.040683065,-0.114185624
394,0.37312484,0.7595398,2.2258542,0.18991122,-0.12735234
395,-0.3372326,0.689038,2.3346655,0.097900294,-0.18591124
396,0.46712813,0.81410074,2.1809204,0.15655124,-0.12831764
397,0.1129303,0.7598564,2.5381136,0.08302471,-0.09875718
398,0.7959155,0.5929916,2.4361057,0.21244629,-0.19348855
399,-0.20591128,0.7832427,2.3015268,0.15256527,-0.19238488
400,0.64157224,0.7532502,2.0679393,0.070190296,-0.2363372
401,0.52800006,0.6621412,2.5218837,0.14330141,-0.10358097
402,0.74993587,0.6503249,2.1574044,0.11263043,-0.19826914
403,-0.28918007,0.771271,2.0419908,0.15322581,-0.12998524
404,0.55750585,0.72400534,2.3236818,0.1279007,-0.18660703
405,-0.59001386,0.72470325,2.4133263,0.1085304,-0.1872426
406,-0.6791832,0.6121896,2.3434596,0.1160034,-0.1550257
407,-0.6506147,0.54566073,2.2541997,0.08766723,-0.13196018
408,-0.22008565,0.78491706,2.1455605,0.14617005,-0.1230051
409,0.29360318,0.7507965,2.2090092,0.10663208,-0.16248746
410,0.008445835,0.80316806,2.1961975,0.18325758,-0.1520777
411,-0.726056,0.51939213,2.28152,0.107605115,-0.1371589
412,0.43861118,0.785544,2.2718108,0.13863565,-0.08480123
413,0.725203,0.64362144,2.232033,0.08150959,-0.16782823
414,0.7844602,0.7354384,2.2401938,0.18302195,-0.10713397
415,-0.0044442913,0.71930814,2.2650123,0.09060262,-0.17148405
416,-0.8203089,0.5055648,2.2317882,0.06257788,-0.100271635
