,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7
100,-0.37040657,0.5276124,3.3480875,-1.0881774,0.39545318,0.41209897,-1.1216497,-0.66212505,-0.04105547
101,-0.72651255,0.4098375,0.31912735,1.7793877,1.1069062,0.42347145,2.0976212,-1.4727345,0.11383626
102,-0.3859198,0.5332277,1.2176316,0.89673537,1.286258,0.5381116,0.88674116,-1.4280516,-0.12329286
103,0.14773053,0.57928455,-0.23518193,2.4111168,-0.101265185,0.40439135,2.5727828,-0.12264174,0.01567674
104,-0.12898786,0.6037971,2.0633636,0.23307607,-0.681588,0.49776486,0.3156618,0.2495058,-0.116726786
105,0.07762484,0.51719797,1.1151487,1.1801193,-1.4777074,0.28226265,1.248151,1.0903946,0.25662968
106,-0.64566123,0.4463477,-0.50556135,2.7270174,0.20528135,0.51401246,2.8412676,-0.42920128,-0.16957045
107,-0.69449526,0.40815824,2.241881,0.07107772,2.027602,0.70280683,0.10181047,-2.397954,-0.3464167
108,0.3033888,0.50691575,0.35052407,1.8570509,1.2705882,0.29863083,1.8336116,-1.3933216,0.010312845
109,0.16218065,0.5560158,0.5817083,1.51998,-0.4815704,0.53016275,1.5445879,0.23250124,-0.15766248
110,0.4748676,0.50703406,4.1143622,-1.7463536,-2.5081365,0.26629528,-1.8331219,2.1381793,0.2856342
111,0.21637133,0.6110536,1.5292319,0.77550864,0.50957376,0.39420444,0.5313379,-0.5555944,-0.025074162
112,0.05780477,0.6049486,1.0426039,1.2215539,-1.6333122,0.16905205,1.1940082,1.3437599,0.19119146
113,0.21366993,0.614574,-0.6918996,2.7953691,-0.9423296,0.41876057,3.0306854,0.61826533,-0.06925621
114,0.66807085,0.4147857,-0.17721763,2.35226,0.66712326,0.15402526,2.506923,-0.71789455,0.14960685
115,-0.17877813,0.5996573,2.1630669,0.08952223,0.944782,0.43750626,-0.1576865,-0.96719235,-0.23295023
116,0.24729982,0.5875837,0.28590885,2.0473855,-1.2545384,0.2517688,1.9403868,0.95543337,0.1324675
117,-0.49768656,0.47575977,2.7316291,-0.49663627,-0.62308323,0.46224788,-0.3707352,0.3681061,-0.047562134
118,0.45837384,0.4990563,1.0584788,1.1725785,-1.3203142,0.2250574,1.1147901,1.1232253,0.008616029
119,0.76264346,0.35836357,2.4464235,-0.20665435,-2.4880292,0.29831216,-0.16219214,2.0500407,0.23594423
120,-0.011451221,0.6377348,0.9740174,1.2327784,0.029447803,0.5255156,1.3277578,-0.26417613,-0.110633664
121,-0.25682634,0.4958206,0.6752525,1.5672903,0.068919115,0.59018093,1.4113688,-0.33700615,-0.2788874
122,-0.24417177,0.5310698,0.56488794,1.595395,-1.2994161,0.66205084,1.7071245,0.9273258,-0.2649692
123,0.100211725,0.5639072,-0.034238763,2.2396271,1.1101369,0.45226067,2.301586,-1.3010159,-0.098880656
124,0.5546139,0.44411638,0.5893883,1.6187717,3.7356882,0.4259197,1.673931,-4.3543687,-0.15673034
125,-0.05154888,0.63492095,3.3019516,-1.0968767,-0.020031368,0.4046192,-1.0883301,-0.19670811,0.0871436
126,0.4708637,0.48777986,-0.12213732,2.2607896,1.9225928,0.32992914,2.3871214,-2.0652504,-0.046104494
127,0.043272052,0.61412036,1.5056498,0.6634387,-0.8443593,0.45470536,0.6617701,0.4844786,-0.093062945
128,-0.032417163,0.6699043,2.0792556,0.066822335,-2.2406893,0.2365858,0.05343159,1.9776871,0.18459849
129,-0.12626316,0.6248556,1.4012785,0.81248915,0.71306014,0.38610938,0.7413429,-0.86749446,-0.20893489
130,0.3802956,0.546363,-1.5881608,3.6976795,-0.3031731,0.52698916,4.0124636,-0.12273525,-0.06818388
131,0.23654518,0.59488094,3.3126214,-1.1320628,-0.27977848,0.27426144,-1.0849305,0.17871444,0.16164543
132,-0.35758582,0.53477865,2.7170606,-0.39419645,-0.9830877,0.5556904,-0.46054918,0.68144757,-0.13090336
133,-0.16704836,0.56245345,1.1986238,1.0409846,0.085605845,0.5047655,1.11367,-0.38897243,-0.061005976
134,0.69221723,0.4586218,2.1894593,-0.13069344,-0.14538339,0.34853375,0.2301577,-0.14615971,0.02066504
135,0.019346647,0.6453525,0.16417077,1.9358352,-0.058836244,0.6134305,2.1399236,-0.14746426,-0.24813282
136,-0.42803156,0.5288997,0.96316767,1.3226938,-1.8170599,0.35921505,1.2598327,1.5169177,0.00785345
137,0.062440164,0.5503098,2.218281,-0.039610744,0.3671729,0.6360769,-0.2910661,-0.5766919,-0.16332665
138,-0.75719,0.43635488,1.7552011,0.44464818,0.071233094,0.39669523,0.50108397,-0.36312985,0.13722613
139,0.80562717,0.3039059,0.77540594,1.4237571,1.9579424,0.4043025,1.4883235,-2.3818944,0.014790133
140,0.10579256,0.54448396,-0.39981258,2.5515394,0.658321,0.06844406,2.8293672,-1.0945945,0.18763676
141,0.3507354,0.52665275,0.44815484,1.6194825,0.8547662,0.6019519,1.9117395,-1.0945854,-0.13713744
142,0.040207203,0.5860035,0.9350324,1.1434364,-0.8550547,0.16016561,1.5493597,0.6133905,0.3012408
143,-0.01885758,0.62165576,1.1174034,1.0984168,-1.8531908,0.5968258,1.296709,1.4779351,-0.057792824
144,-0.4692557,0.5092676,1.5561734,0.6193269,0.1876081,0.30502957,0.551469,-0.5457951,0.18253075
145,-0.10781804,0.5233023,2.2127473,0.10112161,-1.8654126,0.31486514,0.036370344,1.4279289,0.11983306
146,0.48351905,0.46409586,4.137805,-1.7760614,-0.15486032,0.5281213,-1.7119975,-0.2016292,-0.22454134
