,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
331,-0.4833086,0.58605295,2.0230582,0.15879382
332,-0.7292178,0.46438086,2.0140817,0.115998305
333,-0.24509051,0.6124748,1.9484168,0.16819094
334,-0.3236933,0.60097986,2.1017995,0.2192614
335,-0.3995317,0.6081847,2.0509608,0.19360992
336,-0.39064363,0.5905451,2.0958855,0.16566077
337,-0.3291791,0.604005,1.9896586,0.12013299
338,-0.72170126,0.48605344,1.9870453,0.17275281
339,-0.21339764,0.6657321,2.0635684,0.17215443
340,0.17741157,0.60228765,2.0460937,0.14455251
341,-0.69697493,0.47623977,2.020769,0.1298507
342,-0.0005886292,0.66791433,2.0973835,0.117416464
343,0.36812487,0.5730945,2.0595317,0.095800094
344,0.020798404,0.66854817,2.1429546,0.1659407
345,0.59000564,0.52974737,1.963477,0.1621587
346,-0.27200973,0.58650047,2.0977917,0.11845656
347,-0.24434203,0.6090802,1.9632901,0.18747683
348,0.5814077,0.4936507,2.1239972,0.14665191
349,0.28181,0.606201,2.0914273,0.12590031
350,0.69103116,0.48084894,1.977649,0.13526352
351,-0.03953943,0.6098936,2.1011662,0.14269689
352,0.09675779,0.65120476,2.0565116,0.09506135
353,-0.6308772,0.5168479,1.9740155,0.09571688
354,0.6608421,0.5082194,2.0054681,0.18219356
355,0.6619958,0.4801243,2.0401049,0.16804184
356,0.33916304,0.58426374,2.087942,0.27854073
357,-0.59293073,0.5106239,2.0334523,0.102738164
358,-0.24049057,0.64434963,2.010872,0.25033686
359,0.106459856,0.6604131,2.0508046,0.13966359
360,-0.22766457,0.6371889,2.0740302,0.15763362
361,0.380633,0.5803778,2.0293796,0.17671198
362,0.016493656,0.6381466,1.9956766,0.0496115
363,0.6971182,0.4619114,2.098749,0.1899166
364,-0.069523655,0.6468839,2.126784,0.21290895
365,-0.75088197,0.46842167,1.9854661,0.14532691
366,0.037016958,0.634589,2.0805156,0.19093402
367,-0.2808167,0.57072246,2.0587823,0.24699998
368,0.7627885,0.3976308,2.061432,0.1986764
369,0.23480567,0.6440152,2.1028676,0.15433109
370,0.09497547,0.6489829,1.9887538,0.1174716
371,-0.23789617,0.5726838,2.078355,0.119061336
372,0.50928533,0.54318774,2.0679233,0.12204867
373,-0.31840083,0.65177256,1.984635,0.16826962
