,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4
171,0.44790363,0.61925286,2.2730696,0.037187487,-0.3531932,0.3701547
172,-0.36475685,0.6470353,2.2343972,-0.0005418193,-0.27061585,0.336605
173,0.32276517,0.818911,2.2606835,0.04463549,-0.25621027,0.43613616
174,0.45696953,0.8411012,2.155701,-0.04155507,-0.32663557,0.50717217
175,0.5388022,0.85324043,2.1179862,0.029848406,-0.23974073,0.52361083
176,-0.66831356,0.6299651,2.2091622,0.0008750119,-0.1638933,0.36981052
177,0.45630968,0.6721792,2.1997724,0.005353331,-0.14478627,0.5005194
178,0.19342192,0.66612464,2.167071,0.0823384,-0.2605293,0.40861282
179,0.39409855,0.68352485,2.3809104,0.11840701,-0.15339044,0.40455672
180,0.7730232,0.7086335,2.2904873,0.12529351,-0.26972815,0.41935736
181,0.238817,0.7512422,2.2239962,0.103324115,-0.32190862,0.35736802
182,-0.23725387,0.8220749,2.1405835,0.030784685,-0.33080176,0.36508414
183,-0.5412452,0.67953706,2.156399,0.016532527,-0.2916273,0.5189068
184,-0.55173963,0.6208062,2.1947906,0.078035414,-0.23952855,0.4100907
185,-0.41082722,0.60971075,2.114319,0.010132976,-0.31096628,0.42717436
186,-0.3219531,0.8292073,2.1325712,0.010848183,-0.2451932,0.46688172
187,0.3550651,0.71804965,2.1587422,-0.0037380331,-0.3246605,0.46782708
188,0.5443865,0.6754438,2.2942543,0.0313593,-0.19914362,0.36882272
189,-0.7669424,0.5444655,2.2634335,0.036884427,-0.41553348,0.45300946
190,-0.23934269,0.72491604,2.4438093,0.051041078,-0.28850502,0.36067578
191,0.4763432,0.7241516,2.088896,-0.0110011855,-0.17646326,0.44347873
192,-0.25871104,0.766059,2.4962983,-0.015479155,-0.26472694,0.48596114
193,-0.79339486,0.50491124,2.11214,0.057188846,-0.4078848,0.47253606
194,-0.5143378,0.54564786,2.1330495,0.02814098,-0.25771007,0.41038817
195,-0.5132333,0.6640022,2.0630836,0.057986926,-0.22708829,0.44494653
196,0.046709526,0.74689376,2.3193645,0.025214275,-0.337502,0.4299781
197,-0.49399197,0.6489742,2.2784133,0.049462464,-0.28651896,0.33896512
198,0.30212322,0.7382318,2.7530587,0.10200153,-0.2190837,0.414178
199,0.2489699,0.70794475,2.267082,0.052205153,-0.440607,0.45718285
200,-0.2817195,0.6654703,2.3473706,0.13126357,-0.15389068,0.3523194
201,-0.29886463,0.8168158,2.2566864,0.054262742,-0.38745692,0.46814537
202,-0.2863622,0.6714045,2.5261922,0.056350894,-0.12515622,0.34853065
203,0.70912015,0.8880587,2.3202393,0.013753174,-0.17785494,0.43282372
204,-0.43040818,0.7518654,2.3707337,-0.016245777,-0.31577393,0.34517682
205,0.20584962,0.7737997,2.2912362,0.016826222,-0.136929,0.50574607
206,0.2775042,0.9116421,2.0467565,0.057380445,-0.2398727,0.51060283
207,0.43880543,0.743143,2.072828,0.045592245,-0.2337287,0.5204316
208,-0.088491075,0.8819501,2.263174,-0.011061954,-0.26771206,0.41017935
209,-0.5176375,0.7133812,2.1708524,-0.014666189,-0.28775883,0.37551364
210,0.5573801,0.77276826,2.260974,0.0059404424,-0.22446537,0.45891517
211,-0.64639956,0.5864574,2.279963,0.03850581,-0.2524791,0.44379827
212,-0.4127186,0.8428452,2.4258046,0.0549832,-0.22309804,0.36785308
213,0.0020207174,0.7147831,2.0720077,-0.02796848,-0.2387429,0.44354093
214,-0.85,0.4523789,2.349292,0.0785315,-0.23801358,0.4954264
215,0.047358498,0.91496533,2.2157488,-0.04476964,-0.27377152,0.48287293
216,0.09028834,0.7117014,2.3935084,0.006008484,-0.28847095,0.4511901
217,0.2514669,0.7270553,2.516175,0.03132685,-0.2909804,0.29045725
218,-0.58440113,0.65666044,2.3989873,-0.010359279,-0.27635032,0.38876033
219,0.7851168,0.73295707,2.4090867,0.024933977,-0.16166607,0.4511222
220,0.03626919,0.67915064,2.2664526,0.001586432,-0.19375682,0.448518
221,-0.047102727,0.70071465,2.2939117,-0.022433944,-0.20380872,0.40538746
222,-0.012256736,0.68409497,2.1073532,0.046376165,-0.22775465,0.47764078
223,0.51237637,0.8926345,2.2315881,0.0461545,-0.28336525,0.4219998
224,0.38518202,0.7867797,2.1503694,0.0023760041,-0.18861178,0.4687874
225,0.018533897,0.6762064,2.2086892,0.009428151,-0.26550004,0.4596011
226,0.43143058,0.6682742,2.078354,-0.0040155947,-0.39059505,0.55028045
227,-0.6516726,0.5455781,2.168241,0.076819696,-0.25277558,0.25376293
228,0.27761295,0.7399602,2.2864172,0.0572297,-0.23213458,0.44507593
229,0.5778858,0.6997586,2.2176096,0.06615223,-0.15333942,0.4465747
230,0.30273783,0.754341,2.3188455,0.04293891,-0.29120168,0.31425768
231,0.4907971,0.67770433,1.9300503,0.07890623,-0.24408102,0.5461166
232,-0.0133019835,0.6900261,2.2827473,0.05455973,-0.29311684,0.3421985
233,-0.017027255,0.78434527,2.2134957,0.0073837745,-0.29312715,0.40935257
234,0.23796809,0.72702146,2.4278986,-0.045312922,-0.22094418,0.4557402
235,0.40882626,0.9003692,2.1730623,-0.053202115,-0.288943,0.42347464
236,-0.82686365,0.41517428,2.33866,0.061497062,-0.23051457,0.47148114
237,0.10221692,0.7710485,2.2652686,0.0106920935,-0.29804966,0.3493879
238,0.541294,0.65771526,2.2162092,0.029124832,-0.22477962,0.36813313
239,-0.71276844,0.56503224,2.4706492,0.029723283,-0.21666741,0.41552028
240,-0.58189046,0.53657055,2.4587748,0.009089921,-0.27292332,0.4504568
241,-0.35740504,0.67528677,2.3309674,0.09857879,-0.19584975,0.3913315
242,0.43330064,0.8949934,2.2165196,0.021438088,-0.29566365,0.40893355
243,-0.36109895,0.6717389,2.3884974,0.020042092,-0.16545069,0.31438893
244,-0.10882651,0.84105057,2.1462252,0.11930572,-0.33911332,0.40576667
245,0.026946945,0.77882826,2.104803,-0.0075547826,-0.20213361,0.546689
246,-0.36215872,0.6911267,2.093632,0.0158488,-0.33254355,0.398076
247,-0.49962953,0.54302824,2.1557286,0.010726067,-0.2727651,0.44465455
248,0.70628333,0.8452889,2.3751411,-0.055431314,-0.2277794,0.54261816
249,0.007634864,0.8334833,2.0517976,0.09121167,-0.270968,0.38798764
250,0.77663386,0.71252006,2.1618123,0.015948273,-0.37064135,0.46463278
251,0.5505067,0.7534317,2.344551,0.024894923,-0.32138136,0.4419541
252,-0.12848057,0.67559606,2.6997478,0.06722341,-0.2871994,0.37920883
253,0.54038256,0.7785486,2.6086917,-0.02260966,-0.3229239,0.43390426
254,-0.35068297,0.6869443,2.1310706,0.029449701,-0.33155906,0.46719655
255,0.8349671,0.655318,2.4072561,0.027204085,-0.2636892,0.36658406
256,0.5389109,0.872787,2.4428403,0.012012153,-0.2509326,0.536135
257,-0.02859441,0.6260404,2.1652772,-0.01533997,-0.39406022,0.3639573
258,-0.85,0.35796258,2.199395,0.057096977,-0.2948743,0.39922076
259,-0.74459475,0.60942596,2.452919,0.030427907,-0.2310416,0.42699313
260,0.34782496,0.9363282,2.0312886,0.072364576,-0.20471708,0.49821717
261,0.24534087,0.8110106,2.2011566,0.044310607,-0.2010206,0.39133134
262,0.3320662,0.8005194,2.3322086,0.105731376,-0.2552757,0.3818997
263,-0.7586678,0.497954,2.2835379,0.08856428,-0.2748657,0.43281996
264,-0.4555401,0.6247228,2.12544,0.09718786,-0.30506808,0.43057185
265,0.80369115,0.8474108,2.6560075,0.07486378,-0.19308496,0.43965206
266,-0.08275696,0.64137584,2.284111,0.024556715,-0.2763411,0.36587033
267,0.14307135,1.0029671,2.3072593,0.09219965,-0.26421905,0.48826626
268,-0.5540853,0.71677107,2.2553864,0.10966452,-0.28256065,0.39546806
269,0.62374043,0.801881,2.1509588,0.05600618,-0.26835915,0.40036002
270,-0.36966848,0.7226691,2.3514302,-0.020250296,-0.32614794,0.3341497
271,0.08289714,0.6216036,2.7143135,0.0112141995,-0.24388415,0.43126103
272,0.27152455,0.6870576,2.5588999,0.022345431,-0.36362514,0.4573672
273,0.66314054,0.7277195,2.2752848,0.005033414,-0.23044233,0.53004926
274,0.033023436,0.7375674,2.2981787,0.055786483,-0.25706336,0.3857649
275,0.32324916,0.6704475,2.2370584,0.11882051,-0.22073492,0.3902708
276,-0.36316434,0.7538685,2.1079936,0.028101126,-0.16831227,0.37892872
