,posterior_g1,posterior_g2,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
181,2.136282,0.13232024,0.85,0.0029088088776916265,4.796966,1.5560709
182,2.210876,0.123318754,0.83509361743927,0.04135385900735855,3.166648,2.7242746
183,2.1747484,0.13807547,0.85,0.05,3.4232278,2.1027188
184,2.1816232,0.14807808,0.85,0.05,3.5884748,2.5212185
185,2.1772983,0.08028607,0.8245445489883423,0.05,4.7016273,1.8445152
186,2.2502892,0.062663786,0.8467020392417908,0.03322013467550278,3.1687548,2.374382
187,2.1817439,0.10525414,0.5644090175628662,0.03977625444531441,4.027796,1.7468272
188,2.1727903,0.12335417,0.85,0.05,4.1424956,1.7834707
189,2.0805404,0.1372999,0.85,0.05,5.6146894,1.5286546
190,2.123249,0.17161424,0.85,0.05,4.3774414,1.7033119
191,2.1774285,0.12167752,0.7908092737197876,0.05,3.8392756,1.9837116
192,2.1547375,0.12686709,0.8302947878837585,0.05,4.7295275,1.753887
193,2.1940005,0.16413763,0.85,0.05,3.1485426,1.9763103
194,2.1643713,0.11743893,0.8060493469238281,0.05616983398795128,3.7109208,2.3977716
195,2.0590453,0.16012038,0.85,0.02939540147781372,6.1594343,1.5338053
196,2.1663492,0.08363265,0.7989930510520935,0.04636060819029808,4.5163074,1.9828001
197,2.0866823,0.14709991,0.85,0.05,5.1793294,1.5764205
198,2.2367685,0.17272928,0.8172867298126221,0.025929583236575127,2.5969522,2.504739
199,2.0822375,0.13579199,0.8313878178596497,0.031406473368406296,5.3468246,1.4709662
200,2.1955824,0.19162606,0.840821385383606,0.019234584644436836,2.822766,2.2692595
201,2.2254395,0.12559709,0.8351224064826965,0.038649238646030426,3.165094,2.3108258
202,2.0776193,0.17420241,0.85,0.05,5.116418,1.4758933
203,2.1844122,0.16011417,0.85,0.05,3.144433,2.7429986
204,2.2227309,0.11623676,0.8348522186279297,0.030579382553696632,3.1098633,2.3543398
205,2.235569,0.15590663,0.85,0.03440975397825241,2.961446,2.6928923
206,2.2593572,0.13589579,0.5527936816215515,0.0911552682518959,2.61939,2.4757643
207,2.2111566,0.06029726,0.4234617352485657,0.06462129205465317,3.332534,2.2722409
208,2.2007136,0.14308532,0.6746010184288025,0.04381018131971359,4.0201216,2.3200552
209,2.1598868,0.13521424,0.6031716465950012,0.02912011183798313,3.973652,2.2364194
210,2.2245693,0.198167,0.85,0.03704877197742462,2.6273825,2.6521788
211,2.2216604,0.100161456,0.7144871354103088,0.05,3.1499772,2.5068362
212,2.2224422,0.13634153,0.8028795719146729,0.05,2.6383867,2.2674725
