,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
122,0.49476734,0.8537534,-0.06093907,2.2209132,0.59994155,0.28924233,2.2189896,-0.6595104
123,0.46277878,0.8859832,2.2904623,-0.111181766,-0.88186955,0.23743518,-0.058201537,0.7158808
124,0.48396093,0.92370975,2.820193,-0.83431655,2.1763585,0.24318214,-0.859929,-2.3708756
125,0.5739411,0.8279737,-0.80194664,2.783214,0.46103755,0.2899348,2.776868,-0.6202017
126,0.40779808,0.7950571,4.0813575,-2.073275,-0.19205442,0.23146902,-2.0588324,0.031023376
127,0.5284324,0.8977645,2.7085814,-0.3895348,2.3956766,0.23582761,-0.40317568,-2.327609
128,0.45578083,0.93464965,1.0281687,1.1706597,2.0856714,0.3140062,1.1522675,-2.1588304
129,0.52518857,0.94129324,-0.9199103,3.1053894,1.1320591,0.31273037,3.0700052,-1.3849179
130,0.55023295,0.83313304,3.557111,-1.321576,-0.06511474,0.25618047,-1.3391882,-0.08206297
131,0.40350375,0.9192691,2.3052962,0.0031194908,0.7996556,0.22017197,-0.017253708,-0.9677541
132,0.51046026,0.92103314,5.3754964,-3.1637094,0.8289515,0.28119662,-3.1683109,-0.9813876
133,0.64397097,0.88873136,0.590554,1.6057954,-1.0076075,0.27006188,1.6241078,0.7523602
134,0.59123474,0.8568142,2.931573,-0.81243706,1.0234323,0.30071947,-0.7911711,-1.1861991
135,0.54951805,0.9188262,2.1198623,-0.18099011,-1.2620869,0.28089246,-0.20165996,1.1362436
136,0.6137643,0.79149514,1.6293136,0.60464984,1.202513,0.3117176,0.64146256,-1.4152719
137,0.32947096,0.8370491,-0.6834278,2.6095715,-1.4184464,0.28300884,2.570572,1.387658
138,0.58271354,0.8402245,2.120812,-0.09209537,-0.6815455,0.2810531,-0.096601225,0.50224054
139,0.56521696,0.9212467,4.5901523,-2.5262222,2.4295635,0.26649255,-2.6237068,-2.7174354
140,0.49421176,0.7780066,-0.17037518,2.0463796,-0.2586507,0.2898241,2.0255182,0.0728043
141,0.45400345,0.8946812,3.7312317,-1.6303651,0.4820782,0.25923038,-1.5930716,-0.6433805
142,0.5860504,0.8659104,2.018196,0.18324964,0.68991244,0.2813196,0.1976651,-0.9006028
143,0.6335093,0.89779407,2.399602,-0.06683561,-0.008250498,0.2937424,-0.078180365,-0.14094633
144,0.395179,0.822762,2.107506,-0.009464777,0.5597906,0.26813924,-0.0016701211,-0.75374824
145,0.57454205,0.9581774,1.6894237,0.45922711,2.0416183,0.2853586,0.450455,-2.2017405
146,0.43997395,0.834449,2.54855,-0.2066326,-0.06568059,0.26840165,-0.23461495,-0.08393731
147,0.5094386,0.85464925,1.0044543,1.0522791,2.7372208,0.2953911,1.0192863,-2.3998125
148,0.31714517,0.9614968,2.6739411,-0.7070842,-0.7911432,0.21227443,-0.6974741,0.7149791
149,0.73233914,0.7775464,0.71892226,1.6746674,1.847006,0.26390296,1.6618431,-1.9619874
150,0.17103094,0.84241426,2.6392682,-0.6327825,1.3288351,0.23904559,-0.65419215,-1.4923362
151,0.4948336,0.8146029,2.3133898,-0.07058446,1.3014435,0.25415277,-0.014346478,-1.4625983
152,0.4272197,0.87123966,1.0197989,1.2797508,-2.4033246,0.22515023,1.2853905,2.4549077
153,0.53755355,0.89103043,-1.6949744,3.852937,2.499121,0.2919592,3.8776746,-2.755858
154,0.52136576,0.7288092,-0.6611331,2.6544378,-1.261072,0.26555416,2.6261015,1.1296428
155,0.28695217,0.9131706,1.4246349,0.7824391,-0.5197044,0.23701021,0.7977186,0.41556254
156,0.53970176,0.9097662,-0.92939484,3.3885276,-2.4251213,0.28422743,3.391588,2.2514763
