,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4
138,-0.5438395,0.40821958,1.9743605,0.033939466,-0.2669189,0.40620703
139,-0.5724135,0.33569527,2.1877224,-0.022416169,-0.14223528,0.30933636
140,-0.6827097,0.30425453,2.1651113,-0.017146843,-0.18689606,0.34364945
141,-0.69874674,0.35921934,2.2333252,0.009729689,-0.21881117,0.32448584
142,-0.78131163,0.30736592,2.1759799,-0.0052323355,-0.2100234,0.4354394
143,-0.7557783,0.3459709,2.1731098,-0.05804033,-0.15014887,0.37677884
144,-0.84966296,0.25590828,2.1492448,0.031388137,-0.18946226,0.30307338
145,-0.7534843,0.29623744,2.254257,-0.033273626,-0.19143619,0.37516493
146,-0.5684292,0.39138788,2.0073798,0.13632315,-0.16883223,0.32695234
147,-0.6432902,0.3432308,2.0810924,0.039986003,-0.07903893,0.2360917
148,-0.63307613,0.3406629,2.1787062,0.038195696,-0.19683181,0.39480066
149,-0.8300119,0.26689404,2.0427964,0.05254823,-0.23507126,0.32760984
150,-0.78346413,0.2821623,2.1719227,-0.035002127,-0.099320196,0.29580244
151,-0.5173053,0.40377587,2.0701122,-0.06196223,-0.22280826,0.34442437
152,-0.6325237,0.344702,2.2911222,-0.023756905,-0.1563449,0.29677647
153,-0.59816027,0.39437157,2.0262542,0.025058242,-0.12762524,0.28658512
154,-0.5355082,0.38855636,2.1446438,-0.0133671425,-0.17491178,0.31985465
155,-0.54223317,0.3832534,2.0016375,-0.008457956,-0.14913256,0.2902464
156,-0.6923444,0.3467756,2.1384745,-0.028511696,-0.12335559,0.34838572
157,-0.7305353,0.32724795,2.1270673,0.045050073,-0.13618466,0.30619848
158,-0.7082107,0.33425793,2.081029,0.09592985,-0.13760744,0.35686883
159,-0.5930046,0.36958802,2.198849,-0.054400515,-0.18839753,0.3991237
160,-0.6629127,0.314254,1.9431193,0.103241965,-0.09283304,0.29129598
161,-0.6697914,0.34954706,2.140353,0.014865808,-0.22714755,0.32954857
162,-0.70002806,0.34048542,1.9611739,0.047576398,-0.028719522,0.2060134
163,-0.7806334,0.30819434,2.0453956,0.10879209,-0.074383885,0.22054642
164,-0.9000851,0.2575444,2.1094677,0.05098769,-0.043925922,0.16618659
165,-0.64290017,0.3215239,1.9837911,0.096112184,-0.12630539,0.28445888
166,-0.66104245,0.35478082,2.292852,0.041102692,-0.12132018,0.28118837
167,-0.7007577,0.3814333,1.9548569,0.006034949,-0.08256119,0.2503199
168,-0.72409767,0.32745388,2.04599,0.024066612,-0.15954104,0.32329592
169,-0.7788189,0.31316176,2.2613637,0.0035021529,-0.17449369,0.3323437
170,-0.5891883,0.40290996,2.1859088,-0.09422251,-0.12720463,0.30373377
171,-0.6603513,0.33447143,2.0966601,-0.043377783,-0.18446368,0.31970492
172,-0.8103021,0.3216853,2.2073839,-0.026504697,-0.21403433,0.39537767
173,-0.77811605,0.30384612,2.1055467,0.10024364,-0.25284126,0.37398815
174,-0.57364714,0.40025902,1.9625165,0.10945699,-0.28050205,0.5208352
175,-0.7198904,0.3205271,2.267886,-0.057321556,-0.056093905,0.27034372
176,-0.6507352,0.3315195,2.1406603,-0.055506453,-0.043914225,0.21035308
177,-0.89123,0.27370843,2.0093248,0.061373413,-0.082023285,0.23482282
178,-0.63773906,0.36727563,2.2337043,-0.047468845,-0.2162247,0.42999557
179,-0.68623143,0.33719766,2.0784664,0.007749404,-0.189182,0.37439802
180,-0.6451704,0.3311546,1.9520098,-0.00653198,-0.12755373,0.3696577
181,-0.7755141,0.27483827,2.3266208,-0.099228874,-0.07109217,0.18385647
182,-0.6327854,0.35916966,2.1549184,0.0009942537,-0.18407175,0.30710405
183,-0.70955443,0.31255096,2.1905131,-0.10266977,-0.18611068,0.36797705
184,-0.93047553,0.23945889,2.0229943,0.040909983,-0.1450422,0.3300514
185,-0.718773,0.30378905,2.1557457,-0.029781539,-0.27682003,0.466095
186,-0.50443155,0.43327647,1.9545271,-0.019550148,-0.13127679,0.30751508
187,-0.6610646,0.3964393,2.1483116,0.06926529,-0.14979583,0.25960878
188,-0.81536484,0.29960075,2.4046965,-0.049507663,-0.15990712,0.35693794
189,-0.5244341,0.36928314,2.1193962,-0.13972814,-0.097897716,0.24629733
190,-0.64092267,0.32991257,2.2358236,-0.025408696,-0.101998016,0.22909398
191,-0.594857,0.35613298,2.1530113,-0.03922274,-0.2227153,0.39418378
192,-0.70017,0.36313206,2.0480118,0.06556081,-0.028138645,0.15747984
193,-0.69780886,0.33796126,2.2133515,-0.0067612543,-0.20761,0.32168227
194,-0.66709113,0.3133847,2.2422113,-0.047482103,-0.18303457,0.3500106
195,-0.7190955,0.32149705,2.1158597,-0.008695818,-0.13701339,0.2382417
196,-0.71793646,0.319959,2.2119741,-0.06990229,-0.18775134,0.3088032
197,-0.732097,0.29841015,2.2126517,-0.017134622,-0.06343058,0.21527243
198,-0.71710134,0.32243913,2.0084462,0.0018256177,-0.14399791,0.31385633
199,-0.66904384,0.30391175,2.3662796,-0.047401723,-0.22753158,0.38476297
200,-0.6387058,0.35378373,2.1698372,0.004271456,-0.09982767,0.2811908
201,-0.568495,0.37759507,2.1623027,-0.022077056,-0.122325525,0.2670981
202,-0.74580073,0.3100461,1.9291908,0.121198155,-0.12850785,0.24594808
203,-0.5441716,0.3821709,1.9467946,0.011693632,-0.19412026,0.40137625
204,-0.8190138,0.29533213,2.1217136,0.021888273,-0.10628019,0.29882434
205,-0.70539427,0.2969585,2.3124216,-0.08407393,-0.23633221,0.41970268
206,-0.73090756,0.33909044,2.1390288,0.005175464,-0.042349044,0.19921684
207,-0.743966,0.30303985,2.1055903,0.03216511,-0.14334477,0.35081667
208,-0.7657349,0.30523247,2.4007359,-0.08973256,-0.14146098,0.3166523
209,-0.6936492,0.31216362,2.0282922,0.05564764,-0.17622572,0.3987627
210,-0.67393345,0.34371087,2.1949205,-0.044982262,-0.17297164,0.31842443
211,-0.79537416,0.25843582,2.259656,-0.025905807,-0.19572912,0.25625864
212,-0.6219692,0.3555709,2.0052514,0.04062883,-0.19991718,0.40111887
213,-0.9182738,0.25656974,2.0333831,-0.024485452,-0.12745692,0.34380066
214,-0.7694378,0.32047564,2.0403504,0.054051057,-0.2641716,0.49650553
