,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
88,-1.3434054,3.5617094,-0.51397586,0.24331029,3.6685002,0.4026655,0.84488964,0.38334724,4.3283014,0.2997219
89,2.4951947,-0.54976416,3.9212003,0.2823624,-0.61597985,-4.1541963,0.5113612,0.37684083,4.6056595,0.28774467
90,4.2506404,-2.2327995,-1.6652145,0.28005582,-2.1816206,1.671762,0.8097222,0.3581777,4.4257736,0.28765795
91,2.717382,-0.48488474,1.980757,0.28955704,-0.45248783,-2.2919106,0.80851364,0.36149412,3.6702025,0.32859778
92,0.7313047,1.4853057,-2.794421,0.21198872,1.5304941,2.7411113,0.828049,0.37388444,3.798052,0.34055635
93,2.6450741,-0.57349575,2.3292367,0.41646734,-0.44457844,-2.6639898,0.7289659,0.47683233,3.8724632,0.3496482
94,1.03477,0.9478235,-1.2978352,0.3206758,0.9293913,1.0826643,0.6491849,0.44684297,5.1285777,0.22951853
95,2.4286423,-0.2632713,0.9407249,0.33660242,-0.25170404,-1.154649,0.82799125,0.4283867,3.8590062,0.321204
96,1.135878,1.0232337,-0.10135727,0.36024067,1.0777806,-0.09940297,0.84372914,0.51019514,3.900895,0.3015095
97,-0.5630996,2.5076356,-2.4756093,0.26465628,2.4840624,2.3092883,0.7478762,0.43906885,5.1944776,0.23469058
98,2.225263,-0.2707183,-0.19124116,0.33404452,-0.27549142,0.060347326,0.7096353,0.477032,4.193233,0.31140673
99,0.25997433,1.853901,0.629087,0.3050548,1.7412698,-0.6959919,0.78022087,0.38433668,4.1554666,0.30948332
100,3.0137162,-0.6872544,-0.14791103,0.38917586,-0.63597316,-0.11433167,0.8459695,0.47049338,4.251927,0.30420044
101,0.4623658,1.6281104,-1.3593148,0.34639636,1.673896,1.2380525,0.8462315,0.3254829,4.2451577,0.27934846
102,3.76691,-1.5561908,0.21277621,0.32068023,-1.632541,-0.3096251,0.8249856,0.43229264,3.9457967,0.31238905
103,-0.23885779,2.1770647,-0.2141436,0.33660924,2.1995642,0.0385502,0.51198745,0.5153469,4.169641,0.31060335
104,0.5157682,1.5266632,-0.70724374,0.27762756,1.5608448,0.502771,0.7695526,0.34966686,4.505885,0.29919958
105,2.9307685,-0.6828575,-1.7003926,0.3191405,-0.90648484,1.4416296,0.6633444,0.3035313,3.2867417,0.4127964
106,1.0255798,0.9765547,0.641956,0.39759654,1.0361127,-0.8172292,0.83717495,0.36074942,4.0305886,0.33156908
107,3.1697576,-1.0903192,-1.2366117,0.29297882,-1.1580901,1.0293602,0.75728816,0.39796934,4.2548275,0.29136273
108,-0.3151953,2.4646168,-0.040436883,0.30316687,2.3320358,-0.091963954,0.6774434,0.4654147,3.8785508,0.31667325
109,-1.0408112,3.0965023,1.0781801,0.24966972,3.08166,-1.2136517,0.68464124,0.43390852,4.0811014,0.30975458
110,1.4924105,0.65962034,0.0061493544,0.38444287,0.7386833,-0.3788548,0.63868,0.48116788,3.5358615,0.33442745
111,-1.8222128,3.8303661,1.0670383,0.2976421,3.6671176,-1.3483732,0.3340882,0.51425874,4.245968,0.27696875
112,2.040053,0.08697378,0.43221018,0.36913362,0.07904682,-0.72431964,0.81446576,0.28657258,4.415935,0.29297006
113,1.0581855,1.0393026,-1.0819013,0.23334718,1.0364175,0.87086827,0.82639045,0.30649027,3.409954,0.39869025
114,1.3865583,0.96202606,-1.7729264,0.3852602,0.9320576,1.4562881,0.8413811,0.38641098,3.3545473,0.38566372
115,1.5521634,0.48699993,-2.0406353,0.2540311,0.5809574,1.9155005,0.84850776,0.3425702,4.1961,0.29492006
116,1.1787204,1.0476419,0.31606936,0.22856964,1.0683826,-0.5366127,0.81495357,0.39030233,3.7095659,0.33247748
117,2.2069635,-0.40732738,-0.5196747,0.33668017,-0.5521517,0.45059907,0.13442461,0.69861746,7.2317886,0.15129346
118,-0.72867227,2.8759365,0.26403293,0.30491608,2.7126338,-0.5671951,0.5067757,0.4799038,4.076453,0.3235304
119,1.2924784,0.8435115,-0.77377003,0.25723353,0.8041411,0.6869835,0.8422932,0.31888947,4.5326567,0.26450902
120,1.7830781,0.4102579,1.0251139,0.37668678,0.45567325,-1.2404958,0.8095258,0.51488644,4.1314893,0.29360154
121,-1.0982414,2.953719,1.8410704,0.2389858,3.0238607,-2.0108414,0.23665743,0.45818287,4.766142,0.26481456
122,1.6029255,0.28463462,0.35977423,0.26848987,0.2319627,-0.5776105,0.34073615,0.510483,5.512881,0.21588112
