,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
303,0.74273616,0.84335685,1.8853748,0.07022098
304,0.68603337,0.85571647,2.082168,0.07984512
305,0.73021644,0.83995944,2.330231,0.062644705
306,0.7597151,0.9164607,2.0286558,0.081185855
307,0.6701402,0.8113896,2.4658706,0.068363816
308,0.6895723,0.7748899,2.2662141,0.070548795
309,0.67725575,0.7531656,1.8365561,0.06926119
310,0.7545836,0.7527962,1.9091816,0.059547067
311,0.63264185,0.7911616,1.8159437,0.0759673
312,0.64089596,0.86466694,2.210293,0.06501145
313,0.64261585,0.83571154,1.6544756,0.07999192
314,0.59711033,0.9250275,2.0146842,0.06510055
315,0.6875957,0.7912597,1.8465114,0.07082222
316,0.64316106,0.80677104,1.9999359,0.072046906
317,0.62873554,0.8235439,2.1687403,0.06713821
318,0.7123565,0.8788717,2.1530344,0.0763913
319,0.70367163,0.8838876,1.9598979,0.07913323
320,0.63582194,0.92037815,2.090837,0.071614206
321,0.6547205,0.91173065,2.1053681,0.065614894
322,0.6798775,0.9226351,1.98556,0.07818027
323,0.46159244,0.907117,2.004402,0.071024284
324,0.7592009,0.8106333,2.0892713,0.0709233
325,0.63527596,0.80815184,2.0139153,0.049507037
326,0.7341385,0.7594397,2.227201,0.054228853
327,0.69458234,0.7832588,2.1032882,0.049469665
328,0.75936097,0.8732788,2.302787,0.0729001
329,0.66969407,0.9250575,2.384839,0.06254936
330,0.6458689,0.73733276,2.2186117,0.06918432
331,0.6399546,0.8334543,2.1009681,0.06202851
332,0.6728379,0.82663643,2.297129,0.07474927
333,0.66752476,0.8407094,2.2322414,0.080169216
334,0.66220766,0.8605918,2.214225,0.073102385
335,0.63357943,0.9502171,2.2443287,0.07266878
336,0.6195641,0.89316976,2.2889094,0.05922047
337,0.7739109,0.8665138,2.0831354,0.06605782
338,0.7078379,0.89425445,2.378481,0.054177053
339,0.6924638,0.84788996,2.0415368,0.08268266
340,0.6784689,0.8339029,2.17135,0.049770303
341,0.76309687,0.81415313,2.1417537,0.07612395
342,0.6815306,0.866926,2.3637178,0.06607537
343,0.6367698,0.8477885,2.0262537,0.07802169
344,0.54116863,0.89372194,1.9863465,0.049695887
345,0.67136276,0.89337486,2.1257017,0.072618105
346,0.83742195,0.98775953,2.2064207,0.04428004
347,0.58792704,0.8453038,2.1343513,0.07602155
348,0.6942958,0.79565006,2.0183637,0.06601307
349,0.62869215,0.89295334,2.3438387,0.04868057
350,0.6531822,0.87798125,2.167758,0.07120417
351,0.66914,0.8752421,2.2176414,0.05782818
352,0.62405044,0.8075728,2.3397434,0.058837216
353,0.6156316,0.8535814,2.084717,0.0548046
354,0.60569215,0.93830585,2.415805,0.07554991
355,0.6065309,0.8433708,2.0669715,0.069393694
356,0.69013506,0.7979454,2.1582327,0.05814104
357,0.53507394,0.83413357,2.0765193,0.060503073
358,0.555198,0.8633422,2.1123426,0.059997287
359,0.6775932,0.8665936,2.1522996,0.06670077
360,0.6327888,0.8857771,2.12646,0.054669157
361,0.5552804,0.9427809,1.9182673,0.064598635
362,0.70491403,0.89031285,1.9366866,0.07652729
363,0.5927223,0.8201932,2.0622358,0.065660454
364,0.7100913,0.85499984,2.084924,0.06294887
365,0.6083205,0.8185242,2.1240077,0.06950702
366,0.70279515,0.88680375,2.1791425,0.08005883
367,0.66827327,0.68507075,1.9115934,0.07795972
368,0.6887183,0.8602499,2.1869419,0.06592245
369,0.72081673,0.77770305,1.6404529,0.07026806
370,0.47547087,0.8161116,2.065294,0.052366126
371,0.70818126,0.89724743,2.0136852,0.070602834
372,0.6237911,0.89710385,2.1240504,0.06309209
373,0.6975723,0.8698197,2.400541,0.066415615
374,0.63036996,0.8638919,1.7938654,0.07793696
375,0.5615395,0.87973106,2.069919,0.06851141
376,0.69728833,0.8595424,2.2210205,0.07134545
377,0.6337356,0.960077,2.4020152,0.07675693
378,0.59606135,0.8031474,2.0713713,0.064856865
379,0.6451701,0.7635261,2.203483,0.06931763
380,0.7540333,0.8892117,2.509183,0.05263028
381,0.6999741,0.80698496,2.2623084,0.07357274
382,0.7365308,0.8257974,2.2260928,0.057581097
383,0.69508576,0.93294114,2.097436,0.05415825
384,0.5678141,0.8549926,1.9625956,0.08204243
385,0.5658437,0.90179735,2.307715,0.07312912
386,0.57992023,0.7256986,2.0793676,0.046443455
387,0.61110306,0.878303,2.3291197,0.067238964
388,0.6448586,0.862405,2.2868228,0.06458258
389,0.7701886,0.89003515,2.2960377,0.061753023
390,0.7880977,0.85988325,2.2263467,0.081267595
391,0.72192174,0.8759793,2.4095142,0.063618265
392,0.78857785,0.8770226,2.1929617,0.065519966
393,0.5530767,0.8260975,2.1946712,0.068624556
394,0.57905066,0.84402907,2.039385,0.07189466
395,0.5961601,0.88536054,2.3921223,0.0651356
396,0.5823455,0.8026742,1.8485812,0.06706017
397,0.74761486,0.9246407,1.8515798,0.06811625
398,0.7814695,0.86976856,2.214862,0.07464841
399,0.50305915,0.91714007,1.6712651,0.073559746
400,0.8519578,0.82594186,2.3308136,0.07189967
401,0.6172797,0.87565726,2.2105274,0.066057146
402,0.64317024,0.8071832,2.0196726,0.08583527
403,0.5423504,0.8195774,1.94091,0.063902624
404,0.7861002,0.8129204,2.155035,0.057056297
405,0.6358714,0.81475794,2.046303,0.06568619
406,0.6595133,0.8470444,2.4279203,0.07729031
407,0.5681722,0.86496353,2.026174,0.06292248
408,0.7110412,0.8845638,2.290876,0.06047217
409,0.6606889,0.8609134,2.1139324,0.062326796
410,0.6060658,0.8819429,1.964849,0.0683274
411,0.7182915,0.96662885,2.2172544,0.06240737
412,0.65768135,0.7998626,1.9794778,0.07032178
413,0.65245026,0.8677614,2.060819,0.06286305
414,0.63822424,0.88763255,2.1949682,0.06961776
415,0.59700906,0.83846575,1.8956573,0.059368506
416,0.62367624,0.8643944,1.7677054,0.07081925
417,0.55593777,0.92396134,1.9712291,0.08120666
418,0.6906372,0.8469108,2.1173909,0.07938897
419,0.6686565,0.8742029,1.9912806,0.062310167
420,0.5864312,0.8438797,2.0997813,0.06583319
421,0.7506191,0.88299733,2.0829601,0.061057508
422,0.7502707,0.7806479,2.2219718,0.06858084
423,0.7055593,0.84865624,1.8384386,0.0582234
424,0.62202716,0.82802856,2.2034972,0.056146175
425,0.7165263,0.81378186,2.077606,0.05594953
426,0.638065,0.93508387,2.1941776,0.058618806
427,0.6948021,0.90238404,1.961922,0.06610784
428,0.53530896,0.85892177,2.2634816,0.066650905
429,0.6681422,0.8501302,2.0557806,0.0779261
430,0.5390602,0.85751575,2.2889209,0.08308391
431,0.72945684,0.9162082,2.0433097,0.06947504
432,0.729078,0.87169653,2.314713,0.055083152
433,0.6659044,0.8830858,2.0405369,0.05414613
