,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
140,2.0142205,-0.10224569,-0.15404992,0.32969043,0.67867184,0.40143478,4.970843,0.2536736
141,2.0077968,-0.1338327,-0.13102461,0.32343933,0.78395486,0.40272993,3.985586,0.3516264
142,2.431795,-0.036141858,-0.22281766,0.28138435,0.82755315,0.4535912,4.1675777,0.3082628
143,2.4005342,-0.056634296,-0.124887995,0.17478341,0.8500723,0.45429617,3.924994,0.30719346
144,2.299161,-0.080056354,-0.10945233,0.3226459,0.8457075,0.43257388,3.5074446,0.36011696
145,1.8170413,-0.04791213,-0.1643566,0.3577039,0.3927759,0.63624567,5.557933,0.22193347
146,2.099421,-0.09094858,-0.19747536,0.30342105,0.748521,0.3565027,4.3657374,0.2918001
147,2.3553903,-0.0986907,-0.19043772,0.29446158,0.85310537,0.4096576,3.6364474,0.32852444
148,2.5527828,-0.05104419,-0.2803656,0.29747456,0.819231,0.46381187,3.7476742,0.33186784
149,1.886007,-0.013468536,-0.2799565,0.23756869,0.23123722,0.68453896,5.68919,0.20649126
150,1.9154874,-0.070134155,-0.046612933,0.2733765,0.68683004,0.35886896,4.8922334,0.28061983
151,2.3405843,-0.16739519,-0.061486993,0.27366254,0.73959136,0.48519465,4.0472403,0.30634987
152,2.2812393,-0.08739592,-0.16463518,0.27513245,0.8466016,0.4136823,3.5675287,0.3565763
153,2.2924118,-0.15605937,-0.18969974,0.39382195,0.8295436,0.43530217,3.5858405,0.32661703
154,2.271578,-0.039742965,-0.13120495,0.24951571,0.8330019,0.4075068,3.9466612,0.32207817
155,2.247628,-0.027169488,-0.12973775,0.18452285,0.7895287,0.4585011,3.5722258,0.3321153
156,2.4487898,-0.096292436,-0.14310317,0.30381736,0.8373214,0.44338024,3.7831466,0.3622347
157,2.1630154,-0.06995054,-0.16542654,0.34543234,0.8304088,0.35498396,3.9791353,0.30676663
158,2.4207733,-0.031063115,-0.19027026,0.3045642,0.84705126,0.42986822,3.5531952,0.352077
159,2.3536108,-0.020287648,-0.25437102,0.3160792,0.84284925,0.3957099,3.3419752,0.42263967
160,2.4383454,-0.11615845,-0.15621622,0.30355802,0.845207,0.442448,4.051425,0.28775212
161,2.2773216,-0.06414618,-0.1883746,0.24046007,0.835042,0.40405026,3.4603887,0.37743717
162,2.2787323,-0.057115622,-0.09557846,0.26343447,0.7910084,0.403611,3.8416333,0.33580858
163,2.210796,-0.09177757,-0.12549026,0.3868081,0.84164625,0.39635527,3.6950758,0.3583613
164,2.0390186,-0.044557612,-0.17148574,0.41034716,0.75921476,0.3165979,4.7379756,0.25757316
165,1.8170239,0.0045912806,-0.18327798,0.2657619,0.13217093,0.5416224,5.446253,0.2201783
166,2.1422698,-0.07603055,-0.13319044,0.24665046,0.79281265,0.33400822,4.3513985,0.283037
167,2.2054617,-0.018681996,-0.16304085,0.2875364,0.82868546,0.3731706,3.9284937,0.35016766
168,2.040216,-0.009798222,-0.0633719,0.2878722,0.805191,0.3775719,4.4211426,0.29415327
169,2.083761,-0.1379131,-0.09999273,0.23420839,0.82135105,0.32049832,3.738668,0.36176786
170,2.093229,0.014600695,-0.08043303,0.30741078,0.8179118,0.4105606,3.6968608,0.3743788
171,1.7513359,-0.0071294107,-0.16810949,0.33088213,0.19109984,0.6818606,6.3187885,0.19417022
172,2.311557,-0.05692473,-0.07764796,0.28586763,0.83998615,0.37342972,3.4031413,0.43801865
173,2.3280861,0.0043797125,-0.21802242,0.28654352,0.80920696,0.46308243,3.435022,0.36100706
174,2.0928307,-0.044816166,-0.16152045,0.26969835,0.8094266,0.34194636,3.838066,0.3215994
175,2.1976335,-0.08073094,-0.13747273,0.28252748,0.79076564,0.36241114,4.4951234,0.26552916
176,2.39456,0.019815743,-0.13083532,0.25902826,0.83496445,0.45192057,3.7143214,0.3665893
177,2.2848933,-0.13113157,-0.16647653,0.2712978,0.824513,0.34950793,3.4032028,0.3797383
178,2.0926766,-0.044513658,-0.12020791,0.26548922,0.8362201,0.302513,3.4140747,0.40025243
179,1.8478807,-0.08527797,-0.06896906,0.27350956,0.24724948,0.5781367,5.752596,0.20097286
180,1.7671305,0.009927416,-0.15486816,0.2999387,0.20336176,0.66595405,6.33855,0.17283633
181,2.2210298,0.022405358,-0.12550889,0.30959544,0.8468342,0.32629853,3.5817325,0.38894418
182,1.9371259,-0.119776376,-0.31345662,0.342236,0.19040686,0.6113093,5.236571,0.22584023
183,2.3944736,-0.15960751,-0.14996076,0.29999587,0.85233736,0.39908236,3.4252245,0.40062645
184,1.978708,-0.074223675,-0.17715867,0.31638715,0.5996328,0.46618545,5.480228,0.20854504
185,2.124094,-0.093843535,-0.10795387,0.25040913,0.8230247,0.35441878,4.266066,0.2787796
186,2.1545985,-0.065201096,-0.20839317,0.24610676,0.8398173,0.27016047,3.9003189,0.32015312
187,1.9510341,-0.05458598,-0.12425207,0.31103367,0.77969426,0.3722194,4.210915,0.31687966
188,2.1538305,-0.12143676,-0.16316769,0.35929695,0.8229179,0.48574406,4.586965,0.28070605
189,2.2506847,0.0022287278,-0.17315081,0.33907914,0.8416104,0.32481655,3.8888514,0.33277097
190,1.8716358,-0.11604816,-0.19286026,0.28588194,0.20360939,0.600158,5.3927383,0.24474418
191,2.2390356,-0.036823288,-0.21218753,0.29501098,0.84454083,0.4124454,3.9304543,0.31716666
192,2.1269906,-0.10310426,-0.20670575,0.23027287,0.5962089,0.51170534,3.5172763,0.34469008
193,2.2031896,-0.07679268,-0.20184983,0.2555331,0.81829923,0.42782965,3.7711823,0.33840522
194,2.030489,-0.021924198,-0.25381905,0.29918563,0.580365,0.48757926,4.4727736,0.30145067
195,2.4085188,-0.12256447,-0.1426803,0.3659811,0.8336547,0.49021494,4.2213016,0.29415685
196,2.269481,-0.08258647,-0.15963547,0.24570858,0.7798724,0.4459686,4.0146646,0.30289632
197,2.0305161,-0.07648773,-0.14102115,0.30346036,0.6393284,0.46161804,4.0953217,0.32783952
198,1.9759969,-0.07129949,-0.13399711,0.24064738,0.50169873,0.49414465,4.7943296,0.25292483
