,posterior_g1,posterior_g2,posterior_g3,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
2014,1.955479,0.032384943,0.082512856,0.64859223,0.08367826789617538,3.9006624,0.5126528
2015,2.2167292,0.03658481,0.035669893,1.1299303,0.05,4.2340546,0.30345953
2016,2.0559127,0.02300357,0.009748569,0.69190246,0.06840655207633972,3.4442825,0.4787676
2017,2.0806952,0.04419652,0.049026843,0.7903881,0.05679137632250786,4.03537,0.40476203
2018,2.2964246,0.042896017,-0.0012501657,1.1719635,0.04758773744106293,3.9195843,0.33046928
2019,1.9652866,0.03587744,0.04327533,0.62175936,0.08167947828769684,3.9210835,0.44445148
2020,2.157551,-0.03280676,-0.028554967,0.995463,0.05,3.9446337,0.3225896
2021,2.0626054,0.105242,0.021270925,0.9907774,0.05,4.376148,0.29149818
2022,2.2678726,0.007237566,0.058278207,1.1485865,0.043417878448963165,4.170108,0.36212277
2023,2.0000484,0.030336406,0.064949155,0.79358506,0.04616473615169525,3.7119853,0.43260464
2024,2.1516755,-0.026052894,0.0241373,0.9662846,0.05,4.0647106,0.29198644
2025,2.2172954,0.09012606,0.0022406892,1.1867874,0.026558583602309227,4.2587934,0.31827807
2026,2.0374167,0.010538414,0.011044912,0.8136181,0.06825344264507294,3.611041,0.46868002
2027,2.1181147,0.012273111,0.03055733,0.9831292,0.0551501028239727,4.162121,0.32685304
2028,1.9187547,0.038623992,0.025440736,0.51238555,0.06401990354061127,4.023055,0.50379467
2029,1.7011651,0.098008044,0.118921846,0.099258065,0.039914123713970184,6.1304035,0.41024163
2030,2.0604236,-0.053265933,0.036133774,0.7686734,0.05220808833837509,4.1485476,0.33976573
2031,2.1060255,-0.0057595544,0.031689294,0.8820562,0.05,4.0712605,0.38644677
2032,2.0879896,0.027627105,-0.016005157,0.77471215,0.05,4.060064,0.33711374
2033,2.022409,-0.021533063,0.035923306,0.606896,0.0640324205160141,3.7722964,0.43801197
2034,2.09877,0.001727661,-0.009612792,0.87181616,0.0498896986246109,4.143066,0.36128914
2035,2.1601295,0.053591385,0.03691061,0.95790803,0.05,3.97258,0.30737594
2036,2.129253,-0.06550711,0.0058282376,0.83427954,0.0690217986702919,4.201076,0.41350093
2037,2.2684648,0.0022865157,-0.015073697,1.0940433,0.042695302516222,4.155867,0.36954415
2038,2.2611861,0.04904729,0.014657143,1.1166948,0.05,4.1295333,0.3085523
2039,1.922294,0.08737672,-0.012321221,0.45698225,0.09328833222389221,3.807633,0.5407841
2040,2.0519657,-0.009561045,0.06331203,0.83798784,0.040248140692710876,4.092965,0.38010716
2041,2.30688,0.01698861,-0.060207922,1.2349166,0.05,4.0592785,0.2845602
2042,1.9373356,0.030219276,0.048387963,0.65405476,0.08382213115692139,4.4738164,0.39091837
2043,1.9951519,-0.005787054,0.0035439942,0.56461227,0.08365842700004578,3.4142067,0.5658585
2044,2.170095,0.047507603,-0.012178425,1.0653963,0.034308891743421555,4.1972847,0.3438281
2045,1.7633705,0.06630479,0.010444406,0.18196504,0.04424353688955307,6.5497565,0.38214266
2046,2.068451,0.02454778,0.0065843984,0.9577422,0.05,4.2144766,0.31471488
2047,2.1512878,0.00818883,0.0054776785,0.94479305,0.02913128398358822,4.4874673,0.319556
2048,2.104206,0.021602111,-0.004832756,0.86334574,0.05,3.8809388,0.32392603
2049,2.0827873,0.06908369,0.038381968,0.92669755,0.05,4.312872,0.3051681
2050,2.2954223,0.0005787724,0.0068100556,1.1682718,0.05,3.086929,0.38741592
2051,1.9280919,0.104114704,0.040214643,0.6594065,0.09685175865888596,3.4601042,0.5608875
2052,2.218722,0.056779712,-0.0030567963,1.2085971,0.06037157401442528,3.4967282,0.39905068
2053,2.1523235,0.022406114,0.05521589,1.0496253,0.05200773850083351,4.151862,0.35598278
2054,2.18822,-0.076356165,-0.041641906,0.8459769,0.04159440100193024,3.690911,0.44778958
2055,2.2832127,-0.051784113,-0.12355508,0.9460581,0.02696559578180313,4.106312,0.31594118
2056,2.267673,0.030826261,-0.06690424,1.006348,0.05,4.0903206,0.28971767
2057,2.2010486,0.011223502,0.053576253,1.2515548,0.03420262038707733,4.192428,0.2856539
2058,2.0792425,0.02927012,0.038091052,0.9148295,0.0422595739364624,4.5349617,0.3478917
2059,2.198949,0.051469382,-0.018608415,1.1142598,0.047108232975006104,4.6840835,0.30090457
2060,1.9319953,-0.017392145,0.08748295,0.4751263,0.06409983336925507,3.7321193,0.56978256
2061,2.0987625,0.00992335,0.007568106,0.9553384,0.05976837873458862,4.5066223,0.30637532
2062,2.1421177,0.032928083,-0.045032296,0.9026514,0.055893976241350174,4.103095,0.32231894
2063,2.040325,0.11211596,-0.05279051,0.6500913,0.04230596125125885,4.4293804,0.36783043
2064,2.0654655,0.054201897,0.005493233,0.86637074,0.06970955431461334,4.216117,0.36572552
2065,2.042795,0.04159691,0.00988645,0.7421118,0.060086946934461594,3.8006146,0.41949925
2066,2.0214803,0.02726366,0.058952317,0.7961906,0.10876961797475815,3.72775,0.5723155
2067,2.2097802,0.123359196,0.064925,1.1382302,0.05784893035888672,3.8515253,0.40788877
2068,1.9488119,0.033904813,0.026028885,0.34514654,0.09305708855390549,3.3566647,0.6914649
2069,2.239289,0.084019706,-0.017001158,1.1181966,0.05,4.010319,0.34873396
2070,1.9450138,0.12737514,-0.048695024,0.48376885,0.07027123868465424,3.453557,0.57842124
2071,2.0604942,0.0040550805,0.018207517,0.8613549,0.03038134053349495,4.1238394,0.3478155
2072,2.1711493,0.0007642718,-0.010680535,0.9387233,0.03736927732825279,3.8377154,0.40931913
2073,1.9816102,0.07965059,0.07971972,0.7348645,0.04250102862715721,3.4929025,0.49489063
2074,2.1701503,0.06061732,-0.018961485,1.0277121,0.046090107411146164,3.9911695,0.34352243
2075,2.1255765,0.02710932,0.06125838,1.1018382,0.05,4.730646,0.25064585
2076,2.3945293,0.03754216,-0.08382281,1.1539193,0.04845760390162468,3.0366743,0.45539707
2077,2.0485551,0.07178757,0.039619744,0.8305322,0.06552005559206009,3.3990397,0.4690294
2078,1.8777881,0.08300453,0.016429136,0.5014798,0.057216279208660126,4.4788084,0.40606773
2079,2.179319,0.007042213,0.0048852162,1.1121509,0.0479702427983284,3.7300334,0.3837999
2080,1.8752896,-0.03026931,0.01303219,0.3275899,0.05,5.0950136,0.34662518
2081,2.0735672,0.07890531,0.021202547,0.7943278,0.05,4.059562,0.37018186
2082,2.2570708,0.010381185,0.026110725,1.2180611,0.042019426822662354,3.8084805,0.35186532
2083,1.9238995,0.07577106,0.0522203,0.5842561,0.058695245534181595,3.7350686,0.5189894
2084,1.9615314,0.120567076,0.05000447,0.8025944,0.04215744510293007,3.8425574,0.41771168
2085,1.9722341,0.015868781,0.052477457,0.693666,0.05404488369822502,4.2032137,0.40494323
2086,2.1116102,-0.032397427,0.06618335,0.899524,0.05,4.5766115,0.28231648
2087,1.9903702,0.002989672,-0.010976758,0.5504914,0.050238147377967834,4.4498444,0.36983973
2088,1.9299124,0.0051600477,-0.0014989987,0.51460177,0.053901784121990204,4.65977,0.45094767
2089,2.1111639,-0.024654021,0.04166234,0.9119662,0.048631105571985245,4.9179688,0.32474473
2090,2.0491304,0.012971317,0.050741587,0.8233423,0.07575802505016327,3.7883599,0.42577735
2091,2.0912156,0.0527202,-0.01484594,0.85990524,0.019344154745340347,3.7391713,0.33143947
2092,1.987662,0.025002612,0.0008189751,0.52164495,0.10642609745264053,3.204422,0.7704055
2093,1.9836879,0.09071139,0.18334523,0.7132017,0.05,3.133561,0.5048886
2094,2.0177763,-0.003610647,0.026519954,0.78150517,0.060770150274038315,4.091807,0.39002016
2095,2.2305875,-0.016147181,-0.015659843,1.08678,0.049908872693777084,3.6710854,0.37647533
2096,2.0577395,0.0016241779,0.0024664095,0.86955404,0.04161810502409935,4.3611197,0.30880478
2097,2.0908985,0.04127304,-0.07205975,0.7327035,0.07172058522701263,4.1115966,0.3382747
2098,1.864947,0.09296163,0.027447468,0.50791,0.04414140433073044,4.720154,0.35133445
2099,1.9571617,0.04378057,0.017782243,0.5869327,0.06032976508140564,3.96868,0.44642472
2100,1.9507776,0.04558289,-0.042817675,0.6197345,0.02322983928024769,4.2995033,0.3884002
2101,2.2010574,0.0071779373,0.06638603,1.188605,0.0603114478290081,4.1918,0.38575935
2102,2.1067274,0.0024480657,-0.02068258,0.8841916,0.07072070986032486,3.9469545,0.41080993
2103,2.3271217,-0.009434711,-0.089608185,1.0849522,0.05,3.7396297,0.36161974
2104,2.3317065,-0.023579651,-0.0020562187,1.2141032,0.01270375307649374,4.0278974,0.26761046
2105,2.0328112,0.057308014,0.027963318,0.6290412,0.055672790855169296,3.9841657,0.4200602
2106,2.2578585,0.002232848,0.036515154,1.281699,0.05,4.044734,0.30379525
2107,2.037019,-0.0138566615,0.036008257,0.8047369,0.056596193462610245,4.015907,0.3632328
2108,1.9184306,0.091998145,-0.0053931978,0.55842084,0.048990726470947266,3.858673,0.4649681
2109,2.1513572,0.0032442035,0.029918607,0.9461115,0.05,4.103538,0.33102697
2110,2.1278446,0.016844423,-0.056487348,0.72480357,0.05283988267183304,3.192514,0.50765866
2111,1.8850809,0.03642807,-0.00046340635,0.43721762,0.04040847346186638,4.897554,0.3808478
2112,2.3007333,0.041700333,-0.043195296,1.1822605,0.05,3.6968956,0.40470842
2113,1.9767491,0.051403802,0.08074666,0.57537395,0.09274795651435852,3.5219038,0.60886973
2114,1.8137733,0.101799585,0.09907956,0.38218367,0.03408137336373329,4.9270573,0.43801102
2115,2.088655,0.086241156,0.068546064,1.0787727,0.05345186963677406,3.9590566,0.3627378
2116,2.2359169,0.0032684996,0.018498141,1.152629,0.05230850726366043,4.5505505,0.31537125
2117,2.1116393,0.04786201,-0.04775898,0.9256552,0.045017387717962265,3.9005232,0.36223134
2118,2.1029596,0.08574633,0.007554464,0.80033857,0.03420214354991913,3.8932953,0.39835408
2119,1.9534378,0.05174521,0.04217524,0.56135863,0.058636367321014404,3.5259404,0.4750027
2120,1.9769511,0.063903384,0.059471376,0.8100981,0.033028725534677505,4.1056523,0.33239058
