,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7
26,0.42781737,0.41047567,0.5720989,1.6231279,0.60774916,0.008404142,1.6364012,-0.75541157,0.31390902
27,0.33580157,0.43848485,-0.31657088,2.498825,-1.285844,-0.7098078,2.4040027,1.2999073,0.83996207
28,0.2653443,0.48965082,1.554627,0.64590627,1.2439808,-0.21457978,0.512489,-1.4215682,0.58668697
29,0.47412705,0.45710984,3.1389387,-1.0240903,-0.04879489,-0.20083982,-1.1833268,-0.053644594,0.42662102
30,-0.36710778,0.39111575,4.04656,-1.7544054,-0.9310415,-0.091232866,-1.8345989,0.8553343,0.25610405
31,0.054743618,0.46612358,0.67729574,1.505001,-2.1843276,-0.34930688,1.6318426,2.07921,0.6106533
32,0.2244525,0.4164016,0.006528423,2.1635697,-2.131927,-0.009048516,2.0560238,2.030697,0.24790438
33,0.1521939,0.4286431,1.6413075,0.5652255,-1.7086029,-0.009480333,0.64212286,1.5583545,0.30906895
34,-0.7026578,0.34287,3.0662613,-0.88955885,-2.7525547,-0.36871684,-0.87963426,2.7095892,0.59198594
35,-0.86550343,0.2883349,0.8737218,1.3126932,-0.03508085,0.177431,1.431069,-0.13776372,0.10888041
36,-0.4550446,0.41455933,1.767679,0.43435436,2.2034962,-0.08113046,0.44711313,-2.3578777,0.3031696
37,-0.6495629,0.36885104,3.036924,-0.79079723,-0.80135787,-0.8192204,-0.6670446,0.9565668,1.0364558
38,0.08646299,0.41168055,1.3658514,0.8017576,-2.1031785,-0.31548592,0.73310107,2.2127962,0.51547205
39,-0.09982456,0.49629074,-0.8417256,3.051472,-0.52231586,-0.22670344,2.9101195,0.36027265,0.4196467
40,0.68866175,0.36102325,3.023971,-0.8783316,-0.49882904,0.348963,-0.70641935,0.34255525,0.054841198
41,-0.1617772,0.45955333,1.0129701,1.1902373,0.056585547,-0.26605585,1.2048887,-0.048800044,0.5310576
42,-0.66744715,0.3385557,2.4270995,-0.28781983,0.69260544,-0.092292055,-0.31948173,-0.7256866,0.30026612
43,0.016887054,0.4270136,2.0042276,0.23902917,-0.46518457,-0.44858074,0.15800822,0.38954005,0.80875325
44,-0.7197888,0.32468808,2.2391055,-0.060721077,-2.0890326,-0.26341835,-0.087665655,2.0419345,0.42036474
45,0.20008425,0.4890573,1.3249974,0.89134395,-1.6496035,-0.43129662,0.8645268,1.5329945,0.7361566
46,-0.975393,0.25408277,1.4325098,0.62788576,1.66147,0.2488722,0.54919434,-1.8107256,0.079310626
47,-0.21559879,0.45471102,0.7564005,1.3777374,0.51146555,-0.16964763,1.3726213,-0.5840884,0.50526524
48,0.91649026,0.31084162,2.861766,-0.73954135,1.3877578,-0.055867232,-0.6278013,-1.4621757,0.42401442
49,0.77934086,0.3409906,-0.35185173,2.579861,0.93668145,-0.11885466,2.6743333,-1.0719728,0.41555652
50,-0.5971061,0.38174966,1.2641573,0.9386437,-0.28063035,-0.24523754,0.88568383,0.17662314,0.4782864
51,0.47532177,0.41123304,1.8099372,0.41187143,-0.45301437,-0.064649165,0.60034794,0.27721244,0.34182256
52,-0.7437998,0.34368056,2.002684,0.22199474,1.5864662,-0.7035185,0.26096183,-1.6416336,0.82448995
53,-0.07507876,0.4236273,-0.16184276,2.3344507,-1.6284174,0.053587236,2.3407793,1.4414532,0.21434575
54,-0.7501379,0.31540355,1.9369296,0.24884409,-0.32069975,-0.18285206,0.30324614,0.27439308,0.37961686
55,0.007283672,0.48530406,-0.7316477,3.0163867,-1.1499854,-0.1565638,2.9573066,1.097716,0.35053113
56,0.3269327,0.49058366,3.9078343,-1.8052505,-1.9881752,0.27686906,-1.6346846,1.8463401,-0.03292068
57,-0.11451107,0.470503,-0.36598608,2.52218,0.113526195,-0.34151992,2.5164173,-0.24575771,0.6337073
58,-0.15789403,0.4131609,0.04143943,2.1707838,-0.32598802,0.15278034,1.8505814,0.12315176,0.18196285
59,-0.453559,0.39101765,1.1029502,1.1118383,-0.28704688,0.1292975,0.9936863,0.18617634,0.05466939
60,0.051047444,0.46030152,1.1163772,1.0490593,-1.3803515,-0.37329996,1.0305064,1.4027154,0.5827642
61,-0.67032725,0.35292292,1.5983616,0.5214992,-1.2149521,-0.29013607,0.6814829,1.1586471,0.56424886
62,-0.24060874,0.46732742,0.8959652,1.1943536,0.53998053,-0.0052035595,1.293511,-0.6632362,0.32038745
63,-0.08223675,0.48097062,2.3746092,-0.2338406,-1.9006068,-0.12643422,-0.18325113,1.8361727,0.39483052
64,0.60090125,0.39517748,-1.3822665,3.5021248,0.11768927,-0.061195813,3.1637022,-0.1863756,0.32702902
65,-0.64222735,0.3705439,-0.9703543,3.2176597,-0.4472128,0.01887434,3.0314767,0.33515215,0.17336746
66,0.33722347,0.45427462,2.161233,0.014511091,-2.2496464,-0.5607714,0.0065627075,2.327809,0.7485225
67,-0.2399583,0.43993336,1.2928782,0.9217253,-1.264645,0.16691373,0.9052833,1.1372188,0.0689273
68,0.08721206,0.44998407,1.25513,0.96811783,-0.4289378,0.7232579,0.94497484,0.1282108,-0.414816
69,0.21571766,0.48086202,0.3715597,1.7984952,1.0261395,-0.30188167,1.6312596,-1.0772617,0.6886878
70,-0.04134442,0.4357357,1.1686503,0.9994852,-0.74718523,0.07716556,1.0294037,0.6685262,0.18965755
71,0.121622875,0.49777484,-0.59772277,2.725205,0.8886975,0.016335968,3.015865,-1.173606,0.30312127
72,0.3129452,0.48785853,0.84806365,1.3648847,-0.9114517,-0.034137,1.4007021,0.7715975,0.31207907
73,-0.10586899,0.42466623,1.2283252,0.96107143,0.9099434,-0.019130131,0.97572565,-0.97130007,0.28170505
74,0.40086168,0.43378562,0.44426605,1.6815764,-2.233391,-0.2559803,1.5550449,2.0093539,0.5906796
75,-0.22712322,0.49193397,-0.13261938,2.4324825,0.43522874,0.41984648,2.2110343,-0.5315634,-0.046470705
76,0.30112022,0.4475057,1.4844624,0.713155,0.1336084,0.2891742,0.6834364,-0.23323987,-0.014347772
77,-0.09450341,0.44322652,1.2327346,0.8935043,2.1327322,0.19099934,0.86389667,-2.3214083,0.1263863
78,0.35544273,0.45372048,2.3066127,-0.12045141,0.7667697,0.087303065,-0.11813555,-0.8957979,0.14792964
79,0.39433846,0.43125182,0.21894181,1.9898226,1.3150091,0.024859227,1.8491359,-1.406913,0.20040187
80,-0.32362792,0.44154158,1.9043599,0.35404328,-2.912768,-0.096874736,0.18830599,2.8161862,0.25653687
81,0.33810425,0.4592095,0.049576513,2.1290421,1.5812335,0.0344515,2.201024,-1.857657,0.24737523
82,-0.68636024,0.32363024,0.986932,1.1702702,-1.9414458,-0.490399,1.3602457,1.7334518,0.83193535
83,-0.14221102,0.54672074,2.5047116,-0.280091,-0.23769133,0.8550505,-0.35032347,-0.06706312,-0.44178683
84,0.14368534,0.482707,0.64033115,1.5437855,0.5925002,-0.24646077,1.6614274,-0.6415841,0.48256847
85,0.66684246,0.34603897,1.5221034,0.6814944,0.36527193,0.23280184,0.58565575,-0.5114408,0.07255154
86,-0.064160846,0.45772862,-0.4577998,2.7194116,0.29369563,-0.051987357,2.5923653,-0.42992127,0.25004572
87,0.06594719,0.42997494,-0.78020567,2.9572103,2.458984,0.29058793,2.9870653,-2.7674158,0.103663914
88,0.3126562,0.45329833,2.341192,-0.1430032,1.2785586,-0.6029841,-0.13053942,-1.3955252,0.7835962
89,0.38760749,0.48366308,1.0060816,1.1762123,0.9030356,-0.11292781,1.1667644,-0.92075795,0.30723143
